PEP 279 | draft| say | It says pretty much what we mean number these items , i e. assign a number to each one .|It says pretty much what we mean number these items , i e. assign a number to each one .
PEP 247 | accepted| debate | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|The debate centred on whether subclassing string was the best way to do this or not .
PEP 247 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|Subclassing string provides the advantage that Paths can be used in the majority of places where strings are currently used , without modification .
PEP 247 | accepted| discussion | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|More discussion considered whether Path should subclass string or not .
PEP 247 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|Subclassing string provides the advantage that Paths can be used in the majority of places where strings are currently used , without modification .
PEP 247 | accepted| reason | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|Jason explained that the reason that there is so much cruft in his path module is that the design is heavily skewed toward people already familiar with the existing standard library equivalents .
PEP 247 | accepted| debate | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|The debate centred on whether subclassing string was the best way to do this or not .
PEP 247 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|Subclassing string provides the advantage that Paths can be used in the majority of places where strings are currently used , without modification .
PEP 247 | accepted| discussion | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|More discussion considered whether Path should subclass string or not .
PEP 247 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|Subclassing string provides the advantage that Paths can be used in the majority of places where strings are currently used , without modification .
PEP 247 | accepted| reason | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|Jason explained that the reason that there is so much cruft in his path module is that the design is heavily skewed toward people already familiar with the existing standard library equivalents .
PEP 247 | accepted| debate | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|The debate centred on whether subclassing string was the best way to do this or not .
PEP 247 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|Subclassing string provides the advantage that Paths can be used in the majority of places where strings are currently used , without modification .
PEP 247 | accepted| discussion | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|More discussion considered whether Path should subclass string or not .
PEP 247 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|Subclassing string provides the advantage that Paths can be used in the majority of places where strings are currently used , without modification .
PEP 247 | accepted| reason | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|Jason explained that the reason that there is so much cruft in his path module is that the design is heavily skewed toward people already familiar with the existing standard library equivalents .
PEP 247 | accepted| debate | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|The debate centred on whether subclassing string was the best way to do this or not .
PEP 247 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|Subclassing string provides the advantage that Paths can be used in the majority of places where strings are currently used , without modification .
PEP 247 | accepted| discussion | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|More discussion considered whether Path should subclass string or not .
PEP 247 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|Subclassing string provides the advantage that Paths can be used in the majority of places where strings are currently used , without modification .
PEP 247 | accepted| reason | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|Jason explained that the reason that there is so much cruft in his path module is that the design is heavily skewed toward people already familiar with the existing standard library equivalents .
PEP 247 | accepted| debate | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|The debate centred on whether subclassing string was the best way to do this or not .
PEP 247 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|Subclassing string provides the advantage that Paths can be used in the majority of places where strings are currently used , without modification .
PEP 247 | accepted| discussion | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|More discussion considered whether Path should subclass string or not .
PEP 247 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|Subclassing string provides the advantage that Paths can be used in the majority of places where strings are currently used , without modification .
PEP 247 | accepted| reason | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|Jason explained that the reason that there is so much cruft in his path module is that the design is heavily skewed toward people already familiar with the existing standard library equivalents .
PEP 247 | accepted| debate | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|The debate centred on whether subclassing string was the best way to do this or not .
PEP 247 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|Subclassing string provides the advantage that Paths can be used in the majority of places where strings are currently used , without modification .
PEP 247 | accepted| discussion | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|More discussion considered whether Path should subclass string or not .
PEP 247 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|Subclassing string provides the advantage that Paths can be used in the majority of places where strings are currently used , without modification .
PEP 247 | accepted| reason | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|Jason explained that the reason that there is so much cruft in his path module is that the design is heavily skewed toward people already familiar with the existing standard library equivalents .
PEP 247 | accepted| debate | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|The debate centred on whether subclassing string was the best way to do this or not .
PEP 247 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|Subclassing string provides the advantage that Paths can be used in the majority of places where strings are currently used , without modification .
PEP 247 | accepted| discussion | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|More discussion considered whether Path should subclass string or not .
PEP 247 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|Subclassing string provides the advantage that Paths can be used in the majority of places where strings are currently used , without modification .
PEP 247 | accepted| reason | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|Jason explained that the reason that there is so much cruft in his path module is that the design is heavily skewed toward people already familiar with the existing standard library equivalents .
PEP 247 | accepted| debate | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|The debate centred on whether subclassing string was the best way to do this or not .
PEP 247 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|Subclassing string provides the advantage that Paths can be used in the majority of places where strings are currently used , without modification .
PEP 247 | accepted| discussion | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|More discussion considered whether Path should subclass string or not .
PEP 247 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|Subclassing string provides the advantage that Paths can be used in the majority of places where strings are currently used , without modification .
PEP 247 | accepted| reason | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|Jason explained that the reason that there is so much cruft in his path module is that the design is heavily skewed toward people already familiar with the existing standard library equivalents .
PEP 247 | accepted| debate | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|The debate centred on whether subclassing string was the best way to do this or not .
PEP 247 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|Subclassing string provides the advantage that Paths can be used in the majority of places where strings are currently used , without modification .
PEP 247 | accepted| discussion | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|More discussion considered whether Path should subclass string or not .
PEP 247 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|Subclassing string provides the advantage that Paths can be used in the majority of places where strings are currently used , without modification .
PEP 247 | accepted| reason | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|Jason explained that the reason that there is so much cruft in his path module is that the design is heavily skewed toward people already familiar with the existing standard library equivalents .
PEP 247 | accepted| debate | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|The debate centred on whether subclassing string was the best way to do this or not .
PEP 247 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|Subclassing string provides the advantage that Paths can be used in the majority of places where strings are currently used , without modification .
PEP 247 | accepted| discussion | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|More discussion considered whether Path should subclass string or not .
PEP 247 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|Subclassing string provides the advantage that Paths can be used in the majority of places where strings are currently used , without modification .
PEP 247 | accepted| reason | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|Jason explained that the reason that there is so much cruft in his path module is that the design is heavily skewed toward people already familiar with the existing standard library equivalents .
PEP 247 | accepted| debate | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|The debate centred on whether subclassing string was the best way to do this or not .
PEP 247 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|Subclassing string provides the advantage that Paths can be used in the majority of places where strings are currently used , without modification .
PEP 247 | accepted| discussion | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|More discussion considered whether Path should subclass string or not .
PEP 247 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|Subclassing string provides the advantage that Paths can be used in the majority of places where strings are currently used , without modification .
PEP 247 | accepted| reason | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|Jason explained that the reason that there is so much cruft in his path module is that the design is heavily skewed toward people already familiar with the existing standard library equivalents .
PEP 247 | accepted| debate | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|The debate centred on whether subclassing string was the best way to do this or not .
PEP 247 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|Subclassing string provides the advantage that Paths can be used in the majority of places where strings are currently used , without modification .
PEP 247 | accepted| discussion | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|More discussion considered whether Path should subclass string or not .
PEP 247 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|Subclassing string provides the advantage that Paths can be used in the majority of places where strings are currently used , without modification .
PEP 247 | accepted| reason | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|Jason explained that the reason that there is so much cruft in his path module is that the design is heavily skewed toward people already familiar with the existing standard library equivalents .
PEP 247 | accepted| debate | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|The debate centred on whether subclassing string was the best way to do this or not .
PEP 247 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|Subclassing string provides the advantage that Paths can be used in the majority of places where strings are currently used , without modification .
PEP 247 | accepted| discussion | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|More discussion considered whether Path should subclass string or not .
PEP 247 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|Subclassing string provides the advantage that Paths can be used in the majority of places where strings are currently used , without modification .
PEP 247 | accepted| reason | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|Jason explained that the reason that there is so much cruft in his path module is that the design is heavily skewed toward people already familiar with the existing standard library equivalents .
PEP 247 | accepted| debate | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|The debate centred on whether subclassing string was the best way to do this or not .
PEP 247 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|Subclassing string provides the advantage that Paths can be used in the majority of places where strings are currently used , without modification .
PEP 247 | accepted| discussion | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|More discussion considered whether Path should subclass string or not .
PEP 247 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|Subclassing string provides the advantage that Paths can be used in the majority of places where strings are currently used , without modification .
PEP 247 | accepted| reason | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|Jason explained that the reason that there is so much cruft in his path module is that the design is heavily skewed toward people already familiar with the existing standard library equivalents .
PEP 247 | accepted| debate | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|The debate centred on whether subclassing string was the best way to do this or not .
PEP 247 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|Subclassing string provides the advantage that Paths can be used in the majority of places where strings are currently used , without modification .
PEP 247 | accepted| discussion | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|More discussion considered whether Path should subclass string or not .
PEP 247 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|Subclassing string provides the advantage that Paths can be used in the majority of places where strings are currently used , without modification .
PEP 247 | accepted| reason | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|Jason explained that the reason that there is so much cruft in his path module is that the design is heavily skewed toward people already familiar with the existing standard library equivalents .
PEP 247 | accepted| debate | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|The debate centred on whether subclassing string was the best way to do this or not .
PEP 247 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|Subclassing string provides the advantage that Paths can be used in the majority of places where strings are currently used , without modification .
PEP 247 | accepted| discussion | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|More discussion considered whether Path should subclass string or not .
PEP 247 | accepted| majority | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|Subclassing string provides the advantage that Paths can be used in the majority of places where strings are currently used , without modification .
PEP 247 | accepted| reason | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|Jason explained that the reason that there is so much cruft in his path module is that the design is heavily skewed toward people already familiar with the existing standard library equivalents .
PEP 247 | accepted| debate | Changing the C API so that Paths are accepted where necessary was the suggested solution, although the PEP at the time of writing the summary still subclasses Path from string.|The debate centred on whether subclassing string was the best way to do this or not .
PEP null | | feedback | |Thanks to all for the feedback .
PEP null | | comments | |I do n't think I 'll be so free with my `` why does n't Python do = XXX '' comments in future ... -LRB- Maybe :--RRB- -RRB-
PEP 252 | accepted| rant | Any unfamiliar punctuation is probably markup for reST you can safely ignore it although I suggest learning reST its simple and is accepted for PEP markup .|Also , because of the wonders of reformatting thanks to whatever program you are using to read this , I can not guarantee you will be able to run the text version of this summary through Docutils as is .
PEP 252 | accepted| rant | Any unfamiliar punctuation is probably markup for reST you can safely ignore it although I suggest learning reST its simple and is accepted for PEP markup .|Also , because of the wonders of programs that like to reformat , I can not guarantee you will be able to run the text version of this summary through Docutils as is .
PEP null | | feedback | |Modified Files : pep-0252.txt Log Message : Quick merge of Barry 's feedback of four weeks ago .
PEP null | | feedback | |Modified Files : pep-0252.txt Log Message : Quick merge of Barry 's feedback of four weeks ago .
PEP null | | feedback | |Modified Files : pep-0252.txt Log Message : Quick merge of Barry 's feedback of four weeks ago .
PEP 252 | accepted| rant | Any unfamiliar punctuation is probably markup for reST you can safely ignore it although I suggest learning reST its simple and is accepted for PEP markup .|Also , because of the wonders of programs that like to reformat , I can not guarantee you will be able to run the text version of this summary through Docutils as is .
PEP null | | issues | |XXX To be done Additional topics to be discussed in this PEP : - backwards compatibility issues !!!
PEP null | | issues | |XXX To be done Additional topics to be discussed in this PEP : - backwards compatibility issues !!!
PEP null | | issues | |XXX To be done Additional topics to be discussed in this PEP : - backwards compatibility issues !!!
PEP null | | issues | |XXX To be done Additional topics to be discussed in this PEP : - backwards compatibility issues !!!
PEP null | | issues | |XXX To be done Additional topics to be discussed in this PEP : - backwards compatibility issues !!!
PEP null | | issues | |XXX To be done Additional topics to be discussed in this PEP : - backwards compatibility issues !!!
PEP null | | feedback | |Modified Files : pep-0252.txt Log Message : Quick merge of Barry 's feedback of four weeks ago .
PEP null | | arguments | |XXX The keyword arguments are currently not passed to tp_new -LRB- -RRB- ; its kwds argument is always NULL .
PEP null | | arguments | |XXX The keyword arguments are currently not passed to tp_new -LRB- -RRB- ; its kwds argument is always NULL .
PEP null | | arguments | |XXX The keyword arguments are currently not passed to tp_new -LRB- -RRB- ; its kwds argument is always NULL .
PEP null | | arguments | |XXX The keyword arguments are currently not passed to tp_new -LRB- -RRB- ; its kwds argument is always NULL .
PEP null | | arguments | |XXX The keyword arguments are currently not passed to tp_new -LRB- -RRB- ; its kwds argument is always NULL .
PEP null | | arguments | |XXX The keyword arguments are currently not passed to tp_new -LRB- -RRB- ; its kwds argument is always NULL .
PEP null | | arguments | |XXX The keyword arguments are currently not passed to tp_new -LRB- -RRB- ; its kwds argument is always NULL .
PEP null | | arguments | |XXX The keyword arguments are currently not passed to tp_new -LRB- -RRB- ; its kwds argument is always NULL .
PEP null | | arguments | |XXX The keyword arguments are currently not passed to tp_new -LRB- -RRB- ; its kwds argument is always NULL .
PEP 255 | previous_version_rejected| discussion | The previous version of this PEP was REJECTED.|After , much discussion on the python dev list , the PEP has been resurrected its present form .
PEP 255 | previous_version_rejected| discussion | The previous version of this PEP was REJECTED.|The impetus for the discussion was an innovative proposal from Peter Norvig .
PEP 255 | previous_version_rejected| discussion | The previous version of this PEP was REJECTED.|After , much discussion on the python dev list , the PEP has been resurrected its present form .
PEP 255 | previous_version_rejected| discussion | The previous version of this PEP was REJECTED.|The impetus for the discussion was an innovative proposal from Peter Norvig .
PEP 255 | previous_version_rejected| discussion | The previous version of this PEP was REJECTED.|After , much discussion on the python dev list , the PEP has been resurrected its present form .
PEP 255 | previous_version_rejected| discussion | The previous version of this PEP was REJECTED.|The impetus for the discussion was an innovative proposal from Peter Norvig .
PEP 255 | rejected| discussion | The previous version of this PEP was REJECTED.|After , much discussion on the python dev list , the PEP has been resurrected its present form .
PEP 255 | rejected| discussion | The previous version of this PEP was REJECTED.|The impetus for the discussion was an innovative proposal from Peter Norvig .
PEP 255 | rejected| discussion | The previous version of this PEP was REJECTED.|After , much discussion on the python dev list , the PEP has been resurrected its present form .
PEP 255 | rejected| discussion | The previous version of this PEP was REJECTED.|The impetus for the discussion was an innovative proposal from Peter Norvig .
PEP 255 | updated| discussion | After, much discussion on the python dev list, the PEP has been resurrected its present form.|After , much discussion on the python dev list , the PEP has been resurrected its present form .
PEP 255 | updated| discussion | After, much discussion on the python dev list, the PEP has been resurrected its present form.|After , much discussion on the python dev list , the PEP has been resurrected its present form .
PEP 255 | updated| discussion | After, much discussion on the python dev list, the PEP has been resurrected its present form.|The impetus for the discussion was an innovative proposal from Peter Norvig .
PEP 255 | updated| discussion | After, much discussion on the python dev list, the PEP has been resurrected its present form.|After , much discussion on the python dev list , the PEP has been resurrected its present form .
PEP 255 | updated| discussion | After, much discussion on the python dev list, the PEP has been resurrected its present form.|After , much discussion on the python dev list , the PEP has been resurrected its present form .
PEP 255 | updated| discussion | After, much discussion on the python dev list, the PEP has been resurrected its present form.|The impetus for the discussion was an innovative proposal from Peter Norvig .
PEP 255 | updated| discussion | After, much discussion on the python dev list, the PEP has been resurrected its present form.|After , much discussion on the python dev list , the PEP has been resurrected its present form .
PEP 255 | updated| discussion | After, much discussion on the python dev list, the PEP has been resurrected its present form.|After , much discussion on the python dev list , the PEP has been resurrected its present form .
PEP 255 | updated| discussion | After, much discussion on the python dev list, the PEP has been resurrected its present form.|The impetus for the discussion was an innovative proposal from Peter Norvig .
PEP 255 | updated| discussion | After, much discussion on the python dev list, the PEP has been resurrected its present form.|After , much discussion on the python dev list , the PEP has been resurrected its present form .
PEP 255 | updated| discussion | After, much discussion on the python dev list, the PEP has been resurrected its present form.|After , much discussion on the python dev list , the PEP has been resurrected its present form .
PEP 255 | updated| discussion | After, much discussion on the python dev list, the PEP has been resurrected its present form.|The impetus for the discussion was an innovative proposal from Peter Norvig .
PEP 255 | previous_version_rejected| discussion | The previous version of this PEP was REJECTED.|After , much discussion on the python dev list , the PEP has been resurrected its present form .
PEP 255 | previous_version_rejected| discussion | The previous version of this PEP was REJECTED.|The impetus for the discussion was an innovative proposal from Peter Norvig 3 .
PEP 255 | previous_version_rejected| discussion | The previous version of this PEP was REJECTED.|After , much discussion on the python dev list , the PEP has been resurrected its present form .
PEP 255 | previous_version_rejected| discussion | The previous version of this PEP was REJECTED.|The impetus for the discussion was an innovative proposal from Peter Norvig 3 .
PEP 255 | previous_version_rejected| discussion | The previous version of this PEP was REJECTED.|After , much discussion on the python dev list , the PEP has been resurrected its present form .
PEP 255 | previous_version_rejected| discussion | The previous version of this PEP was REJECTED.|The impetus for the discussion was an innovative proposal from Peter Norvig 3 .
PEP 255 | rejected| discussion | The previous version of this PEP was REJECTED.|After , much discussion on the python dev list , the PEP has been resurrected its present form .
PEP 255 | rejected| discussion | The previous version of this PEP was REJECTED.|The impetus for the discussion was an innovative proposal from Peter Norvig 3 .
PEP 255 | rejected| discussion | The previous version of this PEP was REJECTED.|After , much discussion on the python dev list , the PEP has been resurrected its present form .
PEP 255 | rejected| discussion | The previous version of this PEP was REJECTED.|The impetus for the discussion was an innovative proposal from Peter Norvig 3 .
PEP 255 | updated| discussion | After, much discussion on the python dev list, the PEP has been resurrected its present form.|After , much discussion on the python dev list , the PEP has been resurrected its present form .
PEP 255 | updated| discussion | After, much discussion on the python dev list, the PEP has been resurrected its present form.|After , much discussion on the python dev list , the PEP has been resurrected its present form .
PEP 255 | updated| discussion | After, much discussion on the python dev list, the PEP has been resurrected its present form.|The impetus for the discussion was an innovative proposal from Peter Norvig 3 .
PEP 255 | updated| discussion | After, much discussion on the python dev list, the PEP has been resurrected its present form.|After , much discussion on the python dev list , the PEP has been resurrected its present form .
PEP 255 | updated| discussion | After, much discussion on the python dev list, the PEP has been resurrected its present form.|After , much discussion on the python dev list , the PEP has been resurrected its present form .
PEP 255 | updated| discussion | After, much discussion on the python dev list, the PEP has been resurrected its present form.|The impetus for the discussion was an innovative proposal from Peter Norvig 3 .
PEP 255 | updated| discussion | After, much discussion on the python dev list, the PEP has been resurrected its present form.|After , much discussion on the python dev list , the PEP has been resurrected its present form .
PEP 255 | updated| discussion | After, much discussion on the python dev list, the PEP has been resurrected its present form.|After , much discussion on the python dev list , the PEP has been resurrected its present form .
PEP 255 | updated| discussion | After, much discussion on the python dev list, the PEP has been resurrected its present form.|The impetus for the discussion was an innovative proposal from Peter Norvig 3 .
PEP 255 | updated| discussion | After, much discussion on the python dev list, the PEP has been resurrected its present form.|After , much discussion on the python dev list , the PEP has been resurrected its present form .
PEP 255 | updated| discussion | After, much discussion on the python dev list, the PEP has been resurrected its present form.|After , much discussion on the python dev list , the PEP has been resurrected its present form .
PEP 255 | updated| discussion | After, much discussion on the python dev list, the PEP has been resurrected its present form.|The impetus for the discussion was an innovative proposal from Peter Norvig 3 .
PEP null | | reason | |Note A : The name of the throw method was selected for several reasons .
PEP null | | feedback | |Most of the feedback received to date !
PEP null | | feedback | |Most of the feedback received to date !
PEP null | | positive | |I feel quite positive about generator comprehensions and have no reservations .
PEP null | | feedback | |Most of the feedback received to date !
PEP null | | feedback | |Most of the feedback received to date !
PEP null | | positive | |I feel quite positive about generator comprehensions and have no reservations .
PEP null | | response | |Author response : When the sole use of generators is to simplify writing !
PEP null | | response | |Author response : When the sole use of generators is to simplify writing !
PEP null | | pronounce | |bdfl pronouncements generator comprehensions are rejected .
PEP null | | issues | |generators were found to be directly substitutable for the lists while eliminating the memory issues through lazy evaluation a k a. just in time manufacturing .
PEP null | | issues | |python itself encountered similar issues .
PEP null | | reason | |Note A : The name of the throw method was selected for several reasons .
PEP null | | consensus | |to establish a standard docstring format by attaining accepted status python community consensus bdfl pronouncement .
PEP null | | consensus | |to establish a standard docstring format by attaining accepted status python community consensus bdfl pronouncement .
PEP null | | interest | |*************** *** 29,38 **** these are the generally accepted goals for a docstring format , as discussed in the python documentation special interest group -LRB- doc-sig -RRB- -LSB- 2 -RSB- _ : 1 .
PEP null | | pronounce | |to establish a standard docstring format by attaining accepted status python community consensus bdfl pronouncement .
PEP null | | pronounce | |to establish a standard docstring format by attaining accepted status python community consensus bdfl pronouncement .
PEP null | | consensus | |accepted status will be sought through python community consensus and eventual bdfl pronouncement .
PEP null | | consensus | |to establish a standard docstring format by attaining accepted status python community consensus bdfl pronouncement .
PEP null | | interest | |*************** *** 29,38 **** these are the generally accepted goals for a docstring format , as discussed in the python documentation special interest group -LRB- doc-sig -RRB- -LSB- 2 -RSB- _ : 1 .
PEP null | | pronounce | |accepted status will be sought through python community consensus and eventual bdfl pronouncement .
PEP null | | pronounce | |to establish a standard docstring format by attaining accepted status python community consensus bdfl pronouncement .
PEP null | | issues | |program and conceptual , enabling the resolution of individual issues !
PEP null | | issues | |program and conceptual , enabling the resolution of individual issues !
PEP null | | issues | |program and conceptual , enabling the resolution of individual issues !
PEP null | | consensus | |this pep proposes a generic docstring processing system dps framework , which separates out the components program and conceptual , enabling the resolution of individual issues either through consensus one solution or through divergence many .
PEP null | | consensus | |this pep proposes a generic docstring processing system dps framework , which separates out the components program and conceptual , enabling the resolution of individual issues either through consensus one solution or through divergence many .
PEP null | | issues | |this pep proposes a generic docstring processing system dps framework , which separates out the components program and conceptual , enabling the resolution of individual issues either through consensus one solution or through divergence many .
PEP null | | issues | |the issues surrounding docstring processing have been contentious and difficult to resolve .
PEP null | | issues | |this pep proposes a generic docstring processing system dps framework , which separates out the components program and conceptual , enabling the resolution of individual issues either through consensus one solution or through divergence many .
PEP null | | consensus | |accepted status will be sought through python community consensus and eventual bdfl pronouncement .
