PEP 8 | proposal | consensus | This PEP proposes a generic Docstring Processing System DPS framework , which separates out the components program and conceptual , enabling the resolution of individual issues either through consensus one solution or through divergence many . | The issues surrounding docstring processing have been contentious and difficult to resolve . | 
PEP 414 | null | bdfl pronouncement | BDFL Pronouncement This PEP has been formally accepted for Python 3.3 . | txt 3,10 3,11 Version Revision Last Modified Date Author Armin Ronacher armin.ronacher at active 4.com Status Draft Status Accepted Type Standards Track Content Type text x rst Created 15 Feb 2012 Post History 28 Feb 2012 Abstract 18,6 19,12 without the need for an explicit 2to3 run . | 
PEP 414 | null | bdfl pronouncement | BDFL Pronouncement This PEP has been formally accepted for Python 3.3 . | txt 3,10 3,11 Version Revision Last Modified Date Author Armin Ronacher armin.ronacher at active 4.com Status Draft Status Accepted Type Standards Track Content Type text x rst Created 15 Feb 2012 Post History 28 Feb 2012 Abstract 18,6 19,12 without the need for an explicit 2to3 run . | 
PEP 414 | null | bdfl pronouncement | BDFL Pronouncement This PEP has been formally accepted for Python 3.3 . | txt 3,10 3,11 Version Revision Last Modified Date Author Armin Ronacher armin.ronacher at active 4.com Status Draft Status Accepted Type Standards Track Content Type text x rst Created 15 Feb 2012 Post History 28 Feb 2012 Abstract 18,6 19,12 without the need for an explicit 2to3 run . | 
PEP 414 | null | bdfl pronouncement | BDFL Pronouncement This PEP has been formally accepted for Python 3.3 . | txt 3,10 3,11 Version Revision Last Modified Date Author Armin Ronacher armin.ronacher at active 4.com Status Draft Status Accepted Type Standards Track Content Type text x rst Created 15 Feb 2012 Post History 28 Feb 2012 Abstract 18,6 19,12 without the need for an explicit 2to3 run . | 
PEP 414 | null | bdfl pronouncement | BDFL Pronouncement This PEP has been formally accepted for Python 3.3 . | txt 3,10 3,11 Version Revision Last Modified Date Author Armin Ronacher armin.ronacher at active 4.com Status Draft Status Accepted Type Standards Track Content Type text x rst Created 15 Feb 2012 Post History 28 Feb 2012 Abstract 18,6 19,12 without the need for an explicit 2to3 run . | 
PEP 414 | null | bdfl pronouncement | BDFL Pronouncement This PEP has been formally accepted for Python 3.3 . | txt 3,10 3,11 Version Revision Last Modified Date Author Armin Ronacher armin.ronacher at active 4.com Status Draft Status Accepted Type Standards Track Content Type text x rst Created 15 Feb 2012 Post History 28 Feb 2012 Abstract 18,6 19,12 without the need for an explicit 2to3 run . | 
PEP 414 | bdfl_pronouncement_accepted | bdfl pronouncement | BDFL Pronouncement This PEP has been formally accepted for Python 3.3 . | txt 3,10 3,11 Version Revision Last Modified Date Author Armin Ronacher armin.ronacher at active 4.com Status Draft Status Accepted Type Standards Track Content Type text x rst Created 15 Feb 2012 Post History 28 Feb 2012 Abstract 18,6 19,12 without the need for an explicit 2to3 run . | 
PEP 414 | bdfl_pronouncement_accepted | bdfl pronouncement | BDFL Pronouncement This PEP has been formally accepted for Python 3.3 . | txt 3,10 3,11 Version Revision Last Modified Date Author Armin Ronacher armin.ronacher at active 4.com Status Draft Status Accepted Type Standards Track Content Type text x rst Created 15 Feb 2012 Post History 28 Feb 2012 Abstract 18,6 19,12 without the need for an explicit 2to3 run . | 
PEP 414 | bdfl_pronouncement_accepted | bdfl pronouncement | BDFL Pronouncement This PEP has been formally accepted for Python 3.3 . | txt 3,10 3,11 Version Revision Last Modified Date Author Armin Ronacher armin.ronacher at active 4.com Status Draft Status Accepted Type Standards Track Content Type text x rst Created 15 Feb 2012 Post History 28 Feb 2012 Abstract 18,6 19,12 without the need for an explicit 2to3 run . | 
PEP 414 | bdfl_pronouncement_accepted | bdfl pronouncement | BDFL Pronouncement This PEP has been formally accepted for Python 3.3 . | txt 3,10 3,11 Version Revision Last Modified Date Author Armin Ronacher armin.ronacher at active 4.com Status Draft Status Accepted Type Standards Track Content Type text x rst Created 15 Feb 2012 Post History 28 Feb 2012 Abstract 18,6 19,12 without the need for an explicit 2to3 run . | 
PEP 414 | null | bdfl pronouncement | BDFL Pronouncement This PEP has been formally accepted for Python 3.3 . | txt 3,10 3,11 Version Revision Last Modified Date Author Armin Ronacher armin.ronacher at active 4.com Status Draft Status Accepted Type Standards Track Content Type text x rst Created 15 Feb 2012 Post History 28 Feb 2012 Abstract 18,6 19,12 without the need for an explicit 2to3 run . | 
PEP 414 | null | bdfl pronouncement | BDFL Pronouncement This PEP has been formally accepted for Python 3.3 . | txt 3,10 3,11 Version Revision Last Modified Date Author Armin Ronacher armin.ronacher at active 4.com Status Draft Status Accepted Type Standards Track Content Type text x rst Created 15 Feb 2012 Post History 28 Feb 2012 Abstract 18,6 19,12 without the need for an explicit 2to3 run . | 
PEP 414 | null | bdfl pronouncement | BDFL Pronouncement This PEP has been formally accepted for Python 3.3 . | txt 3,10 3,11 Version Revision Last Modified Date Author Armin Ronacher armin.ronacher at active 4.com Status Draft Status Accepted Type Standards Track Content Type text x rst Created 15 Feb 2012 Post History 28 Feb 2012 Abstract 18,6 19,12 without the need for an explicit 2to3 run . | 
PEP 414 | null | bdfl pronouncement | BDFL Pronouncement This PEP has been formally accepted for Python 3.3 . | txt 3,10 3,11 Version Revision Last Modified Date Author Armin Ronacher armin.ronacher at active 4.com Status Draft Status Accepted Type Standards Track Content Type text x rst Created 15 Feb 2012 Post History 28 Feb 2012 Abstract 18,6 19,12 without the need for an explicit 2to3 run . | 
PEP 414 | null | bdfl pronouncement | BDFL Pronouncement This PEP has been formally accepted for Python 3.3 . | txt 3,10 3,11 Version Revision Last Modified Date Author Armin Ronacher armin.ronacher at active 4.com Status Draft Status Accepted Type Standards Track Content Type text x rst Created 15 Feb 2012 Post History 28 Feb 2012 Abstract 18,6 19,12 without the need for an explicit 2to3 run . | 
PEP 414 | null | bdfl pronouncement | BDFL Pronouncement This PEP has been formally accepted for Python 3.3 . | txt 3,10 3,11 Version Revision Last Modified Date Author Armin Ronacher armin.ronacher at active 4.com Status Draft Status Accepted Type Standards Track Content Type text x rst Created 15 Feb 2012 Post History 28 Feb 2012 Abstract 18,6 19,12 without the need for an explicit 2to3 run . | 
PEP 414 | null | bdfl pronouncement | BDFL Pronouncement This PEP has been formally accepted for Python 3.3 . | txt 3,10 3,11 Version Revision Last Modified Date Author Armin Ronacher armin.ronacher at active 4.com Status Draft Status Accepted Type Standards Track Content Type text x rst Created 15 Feb 2012 Post History 28 Feb 2012 Abstract 18,6 19,12 without the need for an explicit 2to3 run . | 
PEP 414 | null | bdfl pronouncement | BDFL Pronouncement This PEP has been formally accepted for Python 3.3 . | txt 3,10 3,11 Version Revision Last Modified Date Author Armin Ronacher armin.ronacher at active 4.com Status Draft Status Accepted Type Standards Track Content Type text x rst Created 15 Feb 2012 Post History 28 Feb 2012 Abstract 18,6 19,12 without the need for an explicit 2to3 run . | 
PEP 414 | null | bdfl pronouncement | BDFL Pronouncement This PEP has been formally accepted for Python 3.3 . | reduce the volume of changes needed when porting Unicode aware Python 2 applications to Python 3 . | 
PEP 414 | null | bdfl pronouncement | BDFL Pronouncement This PEP has been formally accepted for Python 3.3 . | reduce the volume of changes needed when porting Unicode aware Python 2 applications to Python 3 . | 
PEP 414 | accepted | bdfl pronouncement | BDFL Pronouncement This PEP has been formally accepted for Python 3.3 . | reduce the volume of changes needed when porting Unicode aware Python 2 applications to Python 3 . | 
PEP 414 | accepted | bdfl pronouncement | BDFL Pronouncement This PEP has been formally accepted for Python 3.3 . | reduce the volume of changes needed when porting Unicode aware Python 2 applications to Python 3 . | 
PEP 414 | accepted | bdfl pronouncement | BDFL Pronouncement This PEP has been formally accepted for Python 3.3 . | reduce the volume of changes needed when porting Unicode aware Python 2 applications to Python 3 . | 
PEP 414 | null | bdfl pronouncement | BDFL Pronouncement This PEP has been formally accepted for Python 3.3 . | reduce the volume of changes needed when porting Unicode aware Python 2 applications to Python 3 . | 
PEP 414 | null | bdfl pronouncement | BDFL Pronouncement This PEP has been formally accepted for Python 3.3 . | reduce the volume of changes needed when porting Unicode aware Python 2 applications to Python 3 . | 
PEP 414 | null | bdfl pronouncement | BDFL Pronouncement This PEP has been formally accepted for Python 3.3 . | reduce the volume of changes needed when porting Unicode aware Python 2 applications to Python 3 . | 
PEP 414 | null | bdfl pronouncement | BDFL Pronouncement This PEP has been formally accepted for Python 3.3 . | reduce the volume of changes needed when porting Unicode aware Python 2 applications to Python 3 . | 
PEP 414 | null | bdfl pronouncement | BDFL Pronouncement This PEP has been formally accepted for Python 3.3 . | reduce the volume of changes needed when porting Unicode aware Python 2 applications to Python 3 . | 
PEP 414 | null | bdfl pronouncement | BDFL Pronouncement This PEP has been formally accepted for Python 3.3 . | reduce the volume of changes needed when porting Unicode aware Python 2 applications to Python 3 . | 
PEP 414 | null | bdfl pronouncement | BDFL Pronouncement This PEP has been formally accepted for Python 3.3 . | reduce the volume of changes needed when porting Unicode aware Python 2 applications to Python 3 . | 
PEP 414 | null | bdfl pronouncement | BDFL Pronouncement This PEP has been formally accepted for Python 3.3 . | reduce the volume of changes needed when porting Unicode aware Python 2 applications to Python 3 . | 
PEP 414 | bdfl_pronouncement_accepted | bdfl pronouncement | BDFL Pronouncement This PEP has been formally accepted for Python 3.3 . | reduce the volume of changes needed when porting Unicode aware Python 2 applications to Python 3 . | 
PEP 414 | bdfl_pronouncement_accepted | bdfl pronouncement | BDFL Pronouncement This PEP has been formally accepted for Python 3.3 . | reduce the volume of changes needed when porting Unicode aware Python 2 applications to Python 3 . | 
PEP 414 | bdfl_pronouncement_accepted | bdfl pronouncement | BDFL Pronouncement This PEP has been formally accepted for Python 3.3 . | reduce the volume of changes needed when porting Unicode aware Python 2 applications to Python 3 . | 
PEP 414 | bdfl_pronouncement_accepted | bdfl pronouncement | BDFL Pronouncement This PEP has been formally accepted for Python 3.3 . | reduce the volume of changes needed when porting Unicode aware Python 2 applications to Python 3 . | 
PEP 414 | null | bdfl pronouncement | BDFL Pronouncement This PEP has been formally accepted for Python 3.3 . | reduce the volume of changes needed when porting Unicode aware Python 2 applications to Python 3 . | 
PEP 414 | null | bdfl pronouncement | BDFL Pronouncement This PEP has been formally accepted for Python 3.3 . | reduce the volume of changes needed when porting Unicode aware Python 2 applications to Python 3 . | 
PEP 414 | null | bdfl pronouncement | BDFL Pronouncement This PEP has been formally accepted for Python 3.3 . | reduce the volume of changes needed when porting Unicode aware Python 2 applications to Python 3 . | 
PEP 414 | null | bdfl pronouncement | BDFL Pronouncement This PEP has been formally accepted for Python 3.3 . | reduce the volume of changes needed when porting Unicode aware Python 2 applications to Python 3 . | 
PEP 414 | null | bdfl pronouncement | BDFL Pronouncement This PEP has been formally accepted for Python 3.3 . | reduce the volume of changes needed when porting Unicode aware Python 2 applications to Python 3 . | 
PEP 414 | null | bdfl pronouncement | BDFL Pronouncement This PEP has been formally accepted for Python 3.3 . | reduce the volume of changes needed when porting Unicode aware Python 2 applications to Python 3 . | 
PEP 414 | null | bdfl pronouncement | BDFL Pronouncement This PEP has been formally accepted for Python 3.3 . | reduce the volume of changes needed when porting Unicode aware Python 2 applications to Python 3 . | 
PEP 414 | null | bdfl pronouncement | BDFL Pronouncement This PEP has been formally accepted for Python 3.3 . | reduce the volume of changes needed when porting Unicode aware Python 2 applications to Python 3 . | 
PEP 414 | proposal | support | This PEP proposes that Python 3.3 restore support for Python 2 's Unicode literal syntax , substantially increasing the number of lines of existing Python 2 code in Unicode aware applications that will run without modification on Python 3 . | Many thought that the unicode literals future import might make a common source possible , but it turns out that it 's doing more harm than good . | 
PEP 414 | proposal | support | This PEP proposes that Python 3.3 restore support for Python 2 's Unicode literal syntax , substantially increasing the number of lines of existing Python 2 code in Unicode aware applications that will run without modification on Python 3 . | Many thought that the unicode literals future import might make a common source possible , but it turns out that it 's doing more harm than good . | 
PEP 419 | deferred | feedback | PEP Deferral Further exploration of the concepts covered in this PEP has been deferred for lack of a current champion interested in promoting the goals of the PEP and collecting and incorporating feedback , and with sufficient available time to do so effectively . | txt 3,7 3,7 Version Revision Last Modified Date Author Paul Colomiets paul at colomiets.name Status Draft Status Deferred Type Standards Track Content Type text x rst Created 06 Apr 2012 16,6 16,14 This PEP proposes a way to protect Python code from being interrupted inside a finally clause or during context manager cleanup . | 
PEP 422 | null | discussion | I actually had this idea a week or so ago , but packaging discussions and moving meant I had postponed writing it up and posting it . | I prefer the approach of adding the namespace '' argument to PEP 422 , though , since it makes init class a far more powerful and compelling idea , and between them the two ideas should cover every metaclass use case that only customises creation rather than ongoing behaviour . | Cheers , Nick .
PEP 422 | proposal | support | This PEP proposes to instead support a wide range of customisation scenarios through a new namespace parameter in the class header , and a new init subclass hook in the class body . | This custom metaclass then persists for the entire lifecycle of the class , creating the potential for spurious metaclass conflicts . | 
PEP 422 | proposal | support | This PEP proposes to instead support a wide range of customisation scenarios through a new namespace parameter in the class header , and a new init class hook in the class body . | Instead , the class creation process is fully defined by the class header , before the class body even begins executing . | 
PEP 422 | proposal | support | This PEP proposes to instead support a wide range of customisation scenarios through a new namespace parameter in the class header , and a new init class hook in the class body . | Instead , the class creation process is fully defined by the class header , before the class body even begins executing . | 
PEP 422 | proposal | support | This PEP proposes to instead support a wide range of customisation scenarios through a new namespace parameter in the class header , and a new init subclass hook in the class body . | This custom metaclass then persists for the entire lifecycle of the class , creating the potential for spurious metaclass conflicts . | 
PEP 422 | null | feedback | PEP Deferral PEP Withdrawal Currently deferred pending updates to address feedback received prior to the Python 3.4 release see TODO note below . | txt 4,7 4,7 Last Modified Date Author Nick Coghlan ncoghlan at gmail.com , Daniel Urban urban.dani py at gmail.com Status Deferred Status Withdrawn Type Standards Track Content Type text x rst Created 5 Jun 2012 28,16 28,13 introduction to the full power Python 's metaclass machinery . | 
PEP 422 | null | feedback | PEP Deferral PEP Withdrawal Currently deferred pending updates to address feedback received prior to the Python 3.4 release see TODO note below . | txt 4,7 4,7 Last Modified Date Author Nick Coghlan ncoghlan at gmail.com , Daniel Urban urban.dani py at gmail.com Status Deferred Status Withdrawn Type Standards Track Content Type text x rst Created 5 Jun 2012 28,16 28,13 introduction to the full power Python 's metaclass machinery . | 
PEP 422 | proposal | support | This PEP proposes to instead support a wide range of customisation scenarios through a new namespace parameter in the class header , and a new init subclass hook in the class body . | txt 7,8 7,8 Type Standards Track Content Type text x rst Created 27 Feb 2015 Python Version 3.5 Post History 27 Feb 2015 Python Version 3.6 Post History 27 Feb 2015 , 5 Feb 2016 Replaces 422 20,127 20,80 creating the potential for spurious metaclass conflicts . | 
PEP 422 | proposal | majority | Proposal This PEP proposes that a new mechanism to customise class creation be added to Python 3.5 that meets the following criteria While there are many possible ways to use a metaclass , the vast majority of use cases falls into just three categories some initialization code running after class creation , the initalization of descriptors and keeping the order in which class attributes were defined . | While the library itself continues to work perfectly , suddenly every code combining those classes with classes from another library fails . | 
PEP 422 | proposal | majority | Proposal This PEP proposes that a new mechanism to customise class creation be added to Python 3.5 that meets the following criteria While there are many possible ways to use a metaclass , the vast majority of use cases falls into just three categories some initialization code running after class creation , the initalization of descriptors and keeping the order in which class attributes were defined . | While the library itself continues to work perfectly , suddenly every code combining those classes with classes from another library fails . | 
PEP 422 | proposal | majority | Proposal This PEP proposes that a new mechanism to customise class creation be added to Python 3.5 that meets the following criteria While there are many possible ways to use a metaclass , the vast majority of use cases falls into just three categories some initialization code running after class creation , the initalization of descriptors and keeping the order in which class attributes were defined . | While the library itself continues to work perfectly , suddenly every code combining those classes with classes from another library fails . | 
PEP 428 | null | discussion | Discussion Division operator The division operator came out first in a poll about the path joining operator . | txt 656,6 656,42 provided , for example some of the functionality of the shutil module . | 
PEP 436 | null | discussion | During the PyCon US 2013 Language Summit , there was discussion of having Argument Clinic also generate the actual documentation in ReST , processed 759,17 753,17 having an island of hand edited stuff in the middle of the DSL output . | How far are we going to go in supporting this admittedly aberrant parameter paradigm ? | 
PEP 436 | null | discussion | During the PyCon US 2013 Language Summit , there was discussion of having Argument Clinic also generate the actual documentation in ReST , processed 759,17 753,17 having an island of hand edited stuff in the middle of the DSL output . | How far are we going to go in supporting this admittedly aberrant parameter paradigm ? | 
PEP 438 | proposal | support | I 've put forward a PEP that proposes a way to resolve the problems with reliability and implicitness of the current method of not hosting PyPI with centralizing around the multiple index URL support . | That being said , nobody is trying to mandate that everyone must upload to PyPI . | There are changes to PyPI in that proposal to increase the discover ability of the additional indexes however I ultimately think that it is the right path forward which brings PyPI inline with what the vast bulk of people    authors and users  )  expect but still preserves the ability for people who do n't want to , to not host on PyPI as well as reduce the number of ways that users have to be aware of for things not being hosted on PyPI .
PEP 443 | null | discussion | Although the said PEP is final , some parts of the discussion on this issue just beg to be included in the Abstract base classes '' section . | One open question is what to do with the algorithm described in PEP 443 which no longer describes the state of things exactly . | 
PEP 443 | null | discussion | Although the said PEP is final , some parts of the discussion on this issue just beg to be included in the Abstract base classes '' section . | One open question is what to do with the algorithm described in PEP 443 which no longer describes the state of things exactly . | 
PEP 443 | null | discussion | Although the said PEP is final , some parts of the discussion on this issue just beg to be included in the Abstract base classes '' section . | One open question is what to do with the algorithm described in PEP 443 which no longer describes the state of things exactly . | 
PEP 443 | null | discussion | Although the said PEP is final , some parts of the discussion on this issue just beg to be included in the Abstract base classes '' section . | One open question is what to do with the algorithm described in PEP 443 which no longer describes the state of things exactly . | 
PEP 443 | null | discussion | Although the said PEP is final , some parts of the discussion on this issue just beg to be included in the Abstract base classes '' section . | One open question is what to do with the algorithm described in PEP 443 which no longer describes the state of things exactly . | 
PEP 443 | null | discussion | Although the said PEP is final , some parts of the discussion on this issue just beg to be included in the Abstract base classes '' section . | One open question is what to do with the algorithm described in PEP 443 which no longer describes the state of things exactly . | 
PEP 443 | final | discussion | Although the said PEP is final , some parts of the discussion on this issue just beg to be included in the Abstract base classes '' section . | One open question is what to do with the algorithm described in PEP 443 which no longer describes the state of things exactly . | 
PEP 443 | final | discussion | Although the said PEP is final , some parts of the discussion on this issue just beg to be included in the Abstract base classes '' section . | One open question is what to do with the algorithm described in PEP 443 which no longer describes the state of things exactly . | 
PEP 443 | final | discussion | Although the said PEP is final , some parts of the discussion on this issue just beg to be included in the Abstract base classes '' section . | One open question is what to do with the algorithm described in PEP 443 which no longer describes the state of things exactly . | 
PEP 443 | null | discussion | Although the said PEP is final , some parts of the discussion on this issue just beg to be included in the Abstract base classes '' section . | One open question is what to do with the algorithm described in PEP 443 which no longer describes the state of things exactly . | 
PEP 443 | null | discussion | Although the said PEP is final , some parts of the discussion on this issue just beg to be included in the Abstract base classes '' section . | One open question is what to do with the algorithm described in PEP 443 which no longer describes the state of things exactly . | 
PEP 443 | null | discussion | Although the said PEP is final , some parts of the discussion on this issue just beg to be included in the Abstract base classes '' section . | One open question is what to do with the algorithm described in PEP 443 which no longer describes the state of things exactly . | 
PEP 444 | deferred | feedback | PEP Deferral Further exploration of the concepts covered in this PEP has been deferred for lack of a current champion interested in promoting the goals of the PEP and collecting and incorporating feedback , and with sufficient available time to do so effectively . | txt 5,7 5,7 Author Chris McDonough chrism at plope.com , Armin Ronacher armin.ronacher at active 4.com Discussions To Python Web SIG web sig at python.org Status Draft Status Deferred Type Informational Content Type text x rst Created 19 Jul 2010 18,6 18,18 interface between web servers and Python web applications or frameworks . | 
PEP 462 | proposal | support | This PEP also proposes changes to the way certain supporting repositories such as the repository for Python Enhancement Proposals are managed to make them more accessible to new contributors , and easier to manage for core developers . | This proposal is intended to allow core developers to make more effective use of the time they have available to contribute to CPython , which should also result in an improved experience for other contributors that are reliant on the core team to get their changes incorporated . | 
PEP 462 | proposal | support | This PEP also proposes changes to the way certain supporting repositories such as the repository for Python Enhancement Proposals are managed to make them more accessible to new contributors , and easier to manage for core developers . | This proposal is intended to allow core developers to make more effective use of the time they have available to contribute to CPython , which should also result in an improved experience for other contributors that are reliant on the core team to get their changes incorporated . | 
PEP 462 | proposal | support | This PEP also proposes changes to the way certain supporting repositories such as the repository for Python Enhancement Proposals are managed to make them more accessible to new contributors , and easier to manage for core developers . | This proposal is intended to allow core developers to make more effective use of the time they have available to contribute to CPython , which should also result in an improved experience for other contributors that are reliant on the core team to get their changes incorporated . | 
PEP 462 | proposal | support | This PEP also proposes changes to the way certain supporting repositories such as the repository for Python Enhancement Proposals are managed to make them more accessible to new contributors , and easier to manage for core developers . | This proposal is intended to allow core developers to make more effective use of the time they have available to contribute to CPython , which should also result in an improved experience for other contributors that are reliant on the core team to get their changes incorporated . | 
PEP 462 | proposal | support | This PEP also proposes changes to the way certain supporting repositories such as the repository for Python Enhancement Proposals are managed to make them more accessible to new contributors , and easier to manage for core developers . | This proposal is intended to allow core developers to make more effective use of the time they have available to contribute to CPython , which should also result in an improved experience for other contributors that are reliant on the core team to get their changes incorporated . | 
PEP 462 | proposal | support | This PEP proposes introducing a more sophisticated approach to repository management that includes more self service '' features , including support for pull requests . | These supporting repositories could benefit greatly from user the simple pull request '' style workflow made popular by code hosting sites like GitHub and BitBucket . | 
PEP 462 | proposal | support | This PEP also proposes changes to the way certain supporting repositories such as the repository for Python Enhancement Proposals are managed to make them more accessible to new contributors , and easier to manage for core developers . | txt 21,11 21,6 experience for other contributors that are reliant on the core team to get their changes incorporated . | 
PEP 462 | proposal | support | This PEP also proposes changes to the way certain supporting repositories such as the repository for Python Enhancement Proposals are managed to make them more accessible to new contributors , and easier to manage for core developers . | txt 21,11 21,6 experience for other contributors that are reliant on the core team to get their changes incorporated . | 
PEP 462 | proposal | support | This PEP also proposes changes to the way certain supporting repositories such as the repository for Python Enhancement Proposals are managed to make them more accessible to new contributors , and easier to manage for core developers . | txt 21,11 21,6 experience for other contributors that are reliant on the core team to get their changes incorporated . | 
PEP 462 | proposal | support | This PEP also proposes changes to the way certain supporting repositories such as the repository for Python Enhancement Proposals are managed to make them more accessible to new contributors , and easier to manage for core developers . | txt 21,11 21,6 experience for other contributors that are reliant on the core team to get their changes incorporated . | 
PEP 462 | proposal | support | This PEP also proposes changes to the way certain supporting repositories such as the repository for Python Enhancement Proposals are managed to make them more accessible to new contributors , and easier to manage for core developers . | txt 21,11 21,6 experience for other contributors that are reliant on the core team to get their changes incorporated . | 
PEP 462 | proposal | support | This PEP proposes introducing a more sophisticated approach to repository management that includes more self service '' features , including support for pull requests . | These supporting repositories could benefit greatly from user the simple pull request '' style workflow made popular by code hosting sites like GitHub and BitBucket . | 
PEP 462 | proposal | support | This PEP proposes migrating the repository hosting of CPython and the supporting repositories to Git and Github . | In particular this PEP proposes changes to the following repositories https hg.python.org devguide https hg.python.org devinabox https hg.python.org peps This PEP does not propose any changes to the core development workflow for CPython itself . | 
PEP 465 | proposal | support | To continue the support of the separation of bytecode files based on their optimization level , this PEP proposes extending the PYC file name to include the optimization level in bytecode repository directory i.e. , the pycache directory . | txt 0,0 1,303 PEP 488 Title Elimination of PYO files Version Revision Last Modified Date Author Brett Cannon brett at python.org Status Draft Type Standards Track Content Type text x rst Created 20 Feb 2015 Post History 2015 03 06 Abstract This PEP proposes eliminating the concept of PYO files from Python . | 
PEP 470 | proposal | support | I 've put forward a PEP that proposes a way to resolve the problems with reliability and implicitness of the current method of not hosting PyPI with centralizing around the multiple index URL support . | That being said , nobody is trying to mandate that everyone must upload to PyPI . | There are changes to PyPI in that proposal to increase the discover ability of the additional indexes however I ultimately think that it is the right path forward which brings PyPI inline with what the vast bulk of people    authors and users  )  expect but still preserves the ability for people who do n't want to , to not host on PyPI as well as reduce the number of ways that users have to be aware of for things not being hosted on PyPI .
PEP 474 | proposal | support | This PEP also proposes changes to the way certain supporting repositories such as the repository for Python Enhancement Proposals are managed to make them more accessible to new contributors , and easier to manage for core developers . | txt 21,11 21,6 experience for other contributors that are reliant on the core team to get their changes incorporated . | 
PEP 474 | proposal | support | This PEP also proposes changes to the way certain supporting repositories such as the repository for Python Enhancement Proposals are managed to make them more accessible to new contributors , and easier to manage for core developers . | txt 21,11 21,6 experience for other contributors that are reliant on the core team to get their changes incorporated . | 
PEP 474 | proposal | support | This PEP also proposes changes to the way certain supporting repositories such as the repository for Python Enhancement Proposals are managed to make them more accessible to new contributors , and easier to manage for core developers . | txt 21,11 21,6 experience for other contributors that are reliant on the core team to get their changes incorporated . | 
PEP 474 | proposal | support | This PEP also proposes changes to the way certain supporting repositories such as the repository for Python Enhancement Proposals are managed to make them more accessible to new contributors , and easier to manage for core developers . | txt 21,11 21,6 experience for other contributors that are reliant on the core team to get their changes incorporated . | 
PEP 474 | proposal | support | This PEP also proposes changes to the way certain supporting repositories such as the repository for Python Enhancement Proposals are managed to make them more accessible to new contributors , and easier to manage for core developers . | txt 21,11 21,6 experience for other contributors that are reliant on the core team to get their changes incorporated . | 
PEP 474 | proposal | support | This PEP proposes introducing a more sophisticated approach to repository management that includes more self service '' features , including support for pull requests . | These supporting repositories could benefit greatly from user the simple pull request '' style workflow made popular by code hosting sites like GitHub and BitBucket . | 
PEP 474 | proposal | support | This PEP proposes migrating the repository hosting of CPython and the supporting repositories to Git and Github . | In particular this PEP proposes changes to the following repositories https hg.python.org devguide https hg.python.org devinabox https hg.python.org peps This PEP does not propose any changes to the core development workflow for CPython itself . | 
PEP 479 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 479 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 479 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 479 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 479 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 479 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 479 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 479 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 479 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 479 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 479 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 479 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 479 | null | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
