PEP 1 | accepted| discussion | need not be completed before the PEP is accepted .|Modified Files : pep-0001.txt Log Message : Fleshed out the bulk of the guidelines , after internal discussion among the PEP authors and the BDFL .
PEP 292 | proposal| support | To address that problem and a number of other concerns , this PEP proposes an alternative approach to compiler supported interpolation , using i for interpolation '' as the new string prefix and a substitution syntax inspired by that used in string.Template and ES6 JavaScript , rather than adding a 4th substitution variable syntax to Python .|To address that problem and a number of other concerns , this PEP proposes an alternative approach to compiler supported interpolation , using i for interpolation '' as the new string prefix and a substitution syntax inspired by that used in string.Template and ES6 JavaScript , rather than adding a 4th substitution variable syntax to Python .
PEP 292 | accepted| discussion | Ignoring the syntax discussions that was decided long ago before the PEP was accepted and had consensus and thus was a moot point and the discussion of whether a trailing at the end of the substitution pattern should be considered an error or not it is , a couple of topics were discussed .|Ignoring the syntax discussions that was decided long ago before the PEP was accepted and had consensus and thus was a moot point and the discussion of whether a trailing at the end of the substitution pattern should be considered an error or not it is , a couple of topics were discussed .
PEP 292 | accepted| discussion | Ignoring the syntax discussions that was decided long ago before the PEP was accepted and had consensus and thus was a moot point and the discussion of whether a trailing at the end of the substitution pattern should be considered an error or not it is , a couple of topics were discussed .|PEP 292 ` _ -LRB- Simpler String Substitutions -RRB- got a huge amount of discussion this past two weeks .
PEP 292 | accepted| discussion | Ignoring the syntax discussions that was decided long ago before the PEP was accepted and had consensus and thus was a moot point and the discussion of whether a trailing at the end of the substitution pattern should be considered an error or not it is , a couple of topics were discussed .|Ignoring the syntax discussions -LRB- that was decided long ago before the PEP was accepted and had consensus and thus was a moot point -RRB- and the discussion of whether a trailing `` $ `` at the end of the substitution pattern should be considered an error or not -LRB- it is -RRB- , a couple of topics were discussed .
PEP 292 | accepted| consensus | Ignoring the syntax discussions that was decided long ago before the PEP was accepted and had consensus and thus was a moot point and the discussion of whether a trailing at the end of the substitution pattern should be considered an error or not it is , a couple of topics were discussed .|Ignoring the syntax discussions that was decided long ago before the PEP was accepted and had consensus and thus was a moot point and the discussion of whether a trailing at the end of the substitution pattern should be considered an error or not it is , a couple of topics were discussed .
PEP 292 | accepted| consensus | Ignoring the syntax discussions that was decided long ago before the PEP was accepted and had consensus and thus was a moot point and the discussion of whether a trailing at the end of the substitution pattern should be considered an error or not it is , a couple of topics were discussed .|Ignoring the syntax discussions -LRB- that was decided long ago before the PEP was accepted and had consensus and thus was a moot point -RRB- and the discussion of whether a trailing `` $ `` at the end of the substitution pattern should be considered an error or not -LRB- it is -RRB- , a couple of topics were discussed .
PEP 292 | updated| support | This issue was resolved by no longer subclassing unicode but making it easy to subclass Template so as to add direct Unicode support with ease .|This issue was resolved by no longer subclassing unicode but making it easy to subclass Template so as to add direct Unicode support with ease .
PEP 292 | updated| support | This issue was resolved by no longer subclassing unicode but making it easy to subclass Template so as to add direct Unicode support with ease .|The side supporting it pointed out that Python 3.0 was going to be using Unicode for strings exclusively so it would be good to start using them now .
PEP 292 | updated| support | This issue was resolved by no longer subclassing unicode but making it easy to subclass Template so as to add direct Unicode support with ease .|This issue was resolved by no longer subclassing unicode but making it easy to subclass Template so as to add direct Unicode support with ease .
PEP 299 | bdfl_pronouncement_rejected| discussion | As the status of PEP 299 shows , Guido has rejected the idea of a special main function before , but I think Steven 's post does a better job of spelling out Why not ? ''|than any of the previous discussions .
PEP 299 | bdfl_pronouncement_rejected| discussion | As the status of PEP 299 shows , Guido has rejected the idea of a special main function before , but I think Steven 's post does a better job of spelling out Why not ? ''|than any of the previous discussions .
PEP 299 | rejected| discussion | As the status of PEP 299 shows , Guido has rejected the idea of a special main function before , but I think Steven 's post does a better job of spelling out Why not ? ''|than any of the previous discussions .
PEP 299 | rejected| discussion | As the status of PEP 299 shows , Guido has rejected the idea of a special main function before , but I think Steven 's post does a better job of spelling out Why not ? ''|than any of the previous discussions .
PEP 302 | proposal| discussion | This PEP proposes enhancements for the import machinery to add post import hooks .|After some discussion on the python-dev mailing list the PEP was parted in two separate PEPs .
PEP 302 | proposal| support | This PEP proposes enhancements for the import machinery to add post import hooks .|It is intended primarily to support the wider use of abstract base classes that is expected in Python 3.0 .
PEP 303 | proposal| discussion | PEP 303 by Thomas Bellman proposes changing divmod so as to allow it to take an arbitrary number of arguments to chain together a bunch of divmod calls .|This thread has started a big discussion on what built-ins are needed , but that started after January 1 and thus will be covered in the next summary .
PEP 303 | rejected| discussion | No one spoke up for it and some against , so it is now rejected .|* Rejection of ` PEP 303 ` _ -LRB- `` Extend divmod -LRB- -RRB- for Multiple Divisors '' -RRB- was proposed on the grounds that it has been open for two and half years and has n't generated discussion or support , is unpersuasive , and unnecessary .
PEP 303 | rejected| support | No one spoke up for it and some against , so it is now rejected .|* Rejection of ` PEP 303 ` _ -LRB- `` Extend divmod -LRB- -RRB- for Multiple Divisors '' -RRB- was proposed on the grounds that it has been open for two and half years and has n't generated discussion or support , is unpersuasive , and unnecessary .
PEP 303 | rejected| discussion | No one spoke up for it and some against , so it is now rejected .|* Rejection of ` PEP 303 ` _ -LRB- `` Extend divmod -LRB- -RRB- for Multiple Divisors '' -RRB- was proposed on the grounds that it has been open for two and half years and has n't generated discussion or support , is unpersuasive , and unnecessary .
PEP 303 | rejected| support | No one spoke up for it and some against , so it is now rejected .|* Rejection of ` PEP 303 ` _ -LRB- `` Extend divmod -LRB- -RRB- for Multiple Divisors '' -RRB- was proposed on the grounds that it has been open for two and half years and has n't generated discussion or support , is unpersuasive , and unnecessary .
PEP 303 | rejected| discussion | No one spoke up for it and some against , so it is now rejected .|* Rejection of ` PEP 303 ` _ -LRB- `` Extend divmod -LRB- -RRB- for Multiple Divisors '' -RRB- was proposed on the grounds that it has been open for two and half years and has n't generated discussion or support , is unpersuasive , and unnecessary .
PEP 303 | rejected| support | No one spoke up for it and some against , so it is now rejected .|* Rejection of ` PEP 303 ` _ -LRB- `` Extend divmod -LRB- -RRB- for Multiple Divisors '' -RRB- was proposed on the grounds that it has been open for two and half years and has n't generated discussion or support , is unpersuasive , and unnecessary .
PEP 304 | proposal| support | But the scheme this PEP proposes a single session wide location is too coarse grained for what I have in mind .|So I would not support this particular PEP without sufficiently large changes that it might as well become a new PEP .
PEP 308 | proposal| discussion | Given that if then else expressions keep being requested , I hereby put forward a proposal .|Please understand that I do n't have a lot of time to moderate the discussion ; I 'll just wait for the community to discuss the proposal and agree on some way to count votes , then count them .
PEP 308 | updated| discussion | I 've updated PEP 308 to reflect this .|In every discussion of a ternary operator this sort of suggestion comes up .
PEP 308 | proposal| discussion | GvR Given that if then else expressions keep being requested , I hereby put GvR forward a proposal .|Please understand that I do n't have a lot of time GvR > to moderate the discussion ; I 'll just wait for the community to GvR > discuss the proposal and agree on some way to count votes , then count GvR > them .
PEP 308 | proposal| discussion | Given that if then else expressions keep being requested , I hereby put forward a proposal .|Please understand that I do n't have a lot of time to moderate the discussion ; I 'll just wait for the community to discuss the proposal and agree on some way to count votes , then count them .
PEP 308 | proposal| discussion | GvR Given that if then else expressions keep being requested , I hereby put GvR forward a proposal .|Please understand that I do n't have a lot of time GvR > to moderate the discussion ; I 'll just wait for the community to GvR > discuss the proposal and agree on some way to count votes , then count GvR > them .
PEP 308 | vote| discussion | Following the discussion , a vote was held .|Following the discussion , a vote was held .
PEP 308 | vote| discussion | Following the discussion , a vote was held .|`` Following the discussion , a vote was held .
PEP 308 | vote| support | Following the discussion , a vote was held .|While there was an overall interest in having some form of if-then-else expressions , no one format was able to draw majority support .
PEP 308 | vote| majority | Following the discussion , a vote was held .|While there was an overall interest in having some form of if-then-else expressions , no one format was able to draw majority support .
PEP 308 | vote| majority | Following the discussion , a vote was held .|Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change . '' .
PEP 308 | vote| discussion | Following the discussion , a vote was held .|Following the discussion , a vote was held .
PEP 308 | vote| discussion | Following the discussion , a vote was held .|`` Following the discussion , a vote was held .
PEP 308 | vote| support | Following the discussion , a vote was held .|While there was an overall interest in having some form of if-then-else expressions , no one format was able to draw majority support .
PEP 308 | vote| majority | Following the discussion , a vote was held .|While there was an overall interest in having some form of if-then-else expressions , no one format was able to draw majority support .
PEP 308 | vote| majority | Following the discussion , a vote was held .|Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change . '' .
PEP 308 | vote_after_discussion| discussion | Following the discussion , a vote was held .|Following the discussion , a vote was held .
PEP 308 | vote_after_discussion| discussion | Following the discussion , a vote was held .|`` Following the discussion , a vote was held .
PEP 308 | vote_after_discussion| support | Following the discussion , a vote was held .|While there was an overall interest in having some form of if-then-else expressions , no one format was able to draw majority support .
PEP 308 | vote_after_discussion| majority | Following the discussion , a vote was held .|While there was an overall interest in having some form of if-then-else expressions , no one format was able to draw majority support .
PEP 308 | vote_after_discussion| majority | Following the discussion , a vote was held .|Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change . '' .
PEP 308 | rejected| discussion | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change . ''|`` Following the discussion , a vote was held .
PEP 308 | rejected| support | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change . ''|While there was an overall interest in having some form of if-then-else expressions , no one format was able to draw majority support .
PEP 308 | rejected| majority | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change . ''|Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change . ''
PEP 308 | rejected| majority | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change . ''|While there was an overall interest in having some form of if-then-else expressions , no one format was able to draw majority support .
PEP 308 | rejected| majority | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change . ''|Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change . '' .
PEP 308 | rejected| discussion | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change . ''|`` Following the discussion , a vote was held .
PEP 308 | rejected| support | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change . ''|While there was an overall interest in having some form of if-then-else expressions , no one format was able to draw majority support .
PEP 308 | rejected| majority | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change . ''|Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change . ''
PEP 308 | rejected| majority | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change . ''|While there was an overall interest in having some form of if-then-else expressions , no one format was able to draw majority support .
PEP 308 | rejected| majority | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change . ''|Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change . '' .
PEP 309 | accepted| discussion | PEP 309 is marked as accepted in its current form , and has an implementation in C which appears to be justified on speed grounds see the SF tracker .|The alternative seems to be a potentially long discussion , petering out without conclusion , and the whole thing missing Python 2.5 .
PEP 310 | proposal| discussion | Some waxings on PEP 310 PEP 310 proposes the with ' syntax that came up a while back that sparked an immense discussion on python dev .|Some waxings on PEP 310 PEP 310 proposes the with ' syntax that came up a while back that sparked an immense discussion on python dev .
PEP 310 | proposal| discussion | Some waxings on PEP 310 PEP 310 proposes the with ' syntax that came up a while back that sparked an immense discussion on python dev .|----------------------- Some waxings on PEP 310 ----------------------- PEP 310 proposes the ` with ' syntax that came up a while back that sparked an immense discussion on python-dev .
PEP 310 | proposal| discussion | Some waxings on PEP 310 PEP 310 proposes the with ' syntax that came up a while back that sparked an immense discussion on python dev .|Some waxings on PEP 310 PEP 310 proposes the with ' syntax that came up a while back that sparked an immense discussion on python dev .
PEP 310 | proposal| discussion | Some waxings on PEP 310 PEP 310 proposes the with ' syntax that came up a while back that sparked an immense discussion on python dev .|----------------------- Some waxings on PEP 310 ----------------------- PEP 310 proposes the ` with ' syntax that came up a while back that sparked an immense discussion on python-dev .
PEP 310 | open| consensus | class StuffINeed Missing code to handle failures during enter or exit '' def init self , lock , something else self.lock lock self.something else something else self.f None def enter self PEP 310 method '' self.lock.acquire self.f open ... self.something else.reserve def exit self PEP 310 method '' self.something else.release self.f.close self.lock.release|However , the general consensus seems to be -LRB- a -RRB- that such code needs refactoring into separate functions , each of which only acquires a single resource , and -LRB- b -RRB- that if you * really * need to acquire 3 resources like this , you can write a user-defined class which encapsulates this need as a `` combined '' resource :
PEP 310 | bdfl_pronouncement| discussion | Guido and Marc Andres Lemburg both agreed that the documentation is incorrect , so Nicholas set out to fix the documentation by removing the 16 bit reference and adding a caveat for extension developers not to make assumptions about the size of Py UNICODE .|A long discussion ensued over why Python sometimes needs to default to UCS-4 Unicode -LRB- to avoid breaking an existing UCS-4 Tkinter -RRB- , whether to expose the size of Py_UNICODE to extension developers -LRB- they wo n't take ` no ' for an answer -RRB- , and whether Python should provide better support for high surrogate pairs -LRB- it should -RRB- .
PEP 310 | bdfl_pronouncement| support | Guido and Marc Andres Lemburg both agreed that the documentation is incorrect , so Nicholas set out to fix the documentation by removing the 16 bit reference and adding a caveat for extension developers not to make assumptions about the size of Py UNICODE .|A long discussion ensued over why Python sometimes needs to default to UCS-4 Unicode -LRB- to avoid breaking an existing UCS-4 Tkinter -RRB- , whether to expose the size of Py_UNICODE to extension developers -LRB- they wo n't take ` no ' for an answer -RRB- , and whether Python should provide better support for high surrogate pairs -LRB- it should -RRB- .
PEP 310 | bdfl_pronouncement| discussion | Guido and Marc Andres Lemburg both agreed that the documentation is incorrect , so Nicholas set out to fix the documentation by removing the 16 bit reference and adding a caveat for extension developers not to make assumptions about the size of Py UNICODE .|A long discussion ensued over why Python sometimes needs to default to UCS-4 Unicode -LRB- to avoid breaking an existing UCS-4 Tkinter -RRB- , whether to expose the size of Py_UNICODE to extension developers -LRB- they wo n't take ` no ' for an answer -RRB- , and whether Python should provide better support for high surrogate pairs -LRB- it should -RRB- .
PEP 310 | bdfl_pronouncement| support | Guido and Marc Andres Lemburg both agreed that the documentation is incorrect , so Nicholas set out to fix the documentation by removing the 16 bit reference and adding a caveat for extension developers not to make assumptions about the size of Py UNICODE .|A long discussion ensued over why Python sometimes needs to default to UCS-4 Unicode -LRB- to avoid breaking an existing UCS-4 Tkinter -RRB- , whether to expose the size of Py_UNICODE to extension developers -LRB- they wo n't take ` no ' for an answer -RRB- , and whether Python should provide better support for high surrogate pairs -LRB- it should -RRB- .
PEP 310 | bdfl_pronouncement| discussion | Guido and Marc Andres Lemburg both agreed that the documentation is incorrect , so Nicholas set out to fix the documentation by removing the 16 bit reference and adding a caveat for extension developers not to make assumptions about the size of Py UNICODE .|A long discussion ensued over why Python sometimes needs to default to UCS-4 Unicode -LRB- to avoid breaking an existing UCS-4 Tkinter -RRB- , whether to expose the size of Py_UNICODE to extension developers -LRB- they wo n't take ` no ' for an answer -RRB- , and whether Python should provide better support for high surrogate pairs -LRB- it should -RRB- .
PEP 310 | bdfl_pronouncement| support | Guido and Marc Andres Lemburg both agreed that the documentation is incorrect , so Nicholas set out to fix the documentation by removing the 16 bit reference and adding a caveat for extension developers not to make assumptions about the size of Py UNICODE .|A long discussion ensued over why Python sometimes needs to default to UCS-4 Unicode -LRB- to avoid breaking an existing UCS-4 Tkinter -RRB- , whether to expose the size of Py_UNICODE to extension developers -LRB- they wo n't take ` no ' for an answer -RRB- , and whether Python should provide better support for high surrogate pairs -LRB- it should -RRB- .
PEP 310 | bdfl_pronouncement| discussion | Guido and Marc Andres Lemburg both agreed that the documentation is incorrect , so Nicholas set out to fix the documentation by removing the 16 bit reference and adding a caveat for extension developers not to make assumptions about the size of Py UNICODE .|A long discussion ensued over why Python sometimes needs to default to UCS-4 Unicode -LRB- to avoid breaking an existing UCS-4 Tkinter -RRB- , whether to expose the size of Py_UNICODE to extension developers -LRB- they wo n't take ` no ' for an answer -RRB- , and whether Python should provide better support for high surrogate pairs -LRB- it should -RRB- .
PEP 310 | bdfl_pronouncement| support | Guido and Marc Andres Lemburg both agreed that the documentation is incorrect , so Nicholas set out to fix the documentation by removing the 16 bit reference and adding a caveat for extension developers not to make assumptions about the size of Py UNICODE .|A long discussion ensued over why Python sometimes needs to default to UCS-4 Unicode -LRB- to avoid breaking an existing UCS-4 Tkinter -RRB- , whether to expose the size of Py_UNICODE to extension developers -LRB- they wo n't take ` no ' for an answer -RRB- , and whether Python should provide better support for high surrogate pairs -LRB- it should -RRB- .
PEP 310 | bdfl_pronouncement| discussion | Guido and Marc Andres Lemburg both agreed that the documentation is incorrect , so Nicholas set out to fix the documentation by removing the 16 bit reference and adding a caveat for extension developers not to make assumptions about the size of Py UNICODE .|A long discussion ensued over why Python sometimes needs to default to UCS-4 Unicode -LRB- to avoid breaking an existing UCS-4 Tkinter -RRB- , whether to expose the size of Py_UNICODE to extension developers -LRB- they wo n't take ` no ' for an answer -RRB- , and whether Python should provide better support for high surrogate pairs -LRB- it should -RRB- .
PEP 310 | bdfl_pronouncement| support | Guido and Marc Andres Lemburg both agreed that the documentation is incorrect , so Nicholas set out to fix the documentation by removing the 16 bit reference and adding a caveat for extension developers not to make assumptions about the size of Py UNICODE .|A long discussion ensued over why Python sometimes needs to default to UCS-4 Unicode -LRB- to avoid breaking an existing UCS-4 Tkinter -RRB- , whether to expose the size of Py_UNICODE to extension developers -LRB- they wo n't take ` no ' for an answer -RRB- , and whether Python should provide better support for high surrogate pairs -LRB- it should -RRB- .
PEP 310 | bdfl_pronouncement| discussion | Guido and Marc Andres Lemburg both agreed that the documentation is incorrect , so Nicholas set out to fix the documentation by removing the 16 bit reference and adding a caveat for extension developers not to make assumptions about the size of Py UNICODE .|A long discussion ensued over why Python sometimes needs to default to UCS-4 Unicode -LRB- to avoid breaking an existing UCS-4 Tkinter -RRB- , whether to expose the size of Py_UNICODE to extension developers -LRB- they wo n't take ` no ' for an answer -RRB- , and whether Python should provide better support for high surrogate pairs -LRB- it should -RRB- .
PEP 310 | bdfl_pronouncement| support | Guido and Marc Andres Lemburg both agreed that the documentation is incorrect , so Nicholas set out to fix the documentation by removing the 16 bit reference and adding a caveat for extension developers not to make assumptions about the size of Py UNICODE .|A long discussion ensued over why Python sometimes needs to default to UCS-4 Unicode -LRB- to avoid breaking an existing UCS-4 Tkinter -RRB- , whether to expose the size of Py_UNICODE to extension developers -LRB- they wo n't take ` no ' for an answer -RRB- , and whether Python should provide better support for high surrogate pairs -LRB- it should -RRB- .
PEP 310 | bdfl_pronouncement| discussion | Guido and Marc Andres Lemburg both agreed that the documentation is incorrect , so Nicholas set out to fix the documentation by removing the 16 bit reference and adding a caveat for extension developers not to make assumptions about the size of Py UNICODE .|A long discussion ensued over why Python sometimes needs to default to UCS-4 Unicode -LRB- to avoid breaking an existing UCS-4 Tkinter -RRB- , whether to expose the size of Py_UNICODE to extension developers -LRB- they wo n't take ` no ' for an answer -RRB- , and whether Python should provide better support for high surrogate pairs -LRB- it should -RRB- .
PEP 310 | bdfl_pronouncement| support | Guido and Marc Andres Lemburg both agreed that the documentation is incorrect , so Nicholas set out to fix the documentation by removing the 16 bit reference and adding a caveat for extension developers not to make assumptions about the size of Py UNICODE .|A long discussion ensued over why Python sometimes needs to default to UCS-4 Unicode -LRB- to avoid breaking an existing UCS-4 Tkinter -RRB- , whether to expose the size of Py_UNICODE to extension developers -LRB- they wo n't take ` no ' for an answer -RRB- , and whether Python should provide better support for high surrogate pairs -LRB- it should -RRB- .
PEP 310 | bdfl_pronouncement| discussion | Guido and Marc Andres Lemburg both agreed that the documentation is incorrect , so Nicholas set out to fix the documentation by removing the 16 bit reference and adding a caveat for extension developers not to make assumptions about the size of Py UNICODE .|A long discussion ensued over why Python sometimes needs to default to UCS-4 Unicode -LRB- to avoid breaking an existing UCS-4 Tkinter -RRB- , whether to expose the size of Py_UNICODE to extension developers -LRB- they wo n't take ` no ' for an answer -RRB- , and whether Python should provide better support for high surrogate pairs -LRB- it should -RRB- .
PEP 310 | bdfl_pronouncement| support | Guido and Marc Andres Lemburg both agreed that the documentation is incorrect , so Nicholas set out to fix the documentation by removing the 16 bit reference and adding a caveat for extension developers not to make assumptions about the size of Py UNICODE .|A long discussion ensued over why Python sometimes needs to default to UCS-4 Unicode -LRB- to avoid breaking an existing UCS-4 Tkinter -RRB- , whether to expose the size of Py_UNICODE to extension developers -LRB- they wo n't take ` no ' for an answer -RRB- , and whether Python should provide better support for high surrogate pairs -LRB- it should -RRB- .
PEP 310 | bdfl_pronouncement| discussion | Guido and Marc Andres Lemburg both agreed that the documentation is incorrect , so Nicholas set out to fix the documentation by removing the 16 bit reference and adding a caveat for extension developers not to make assumptions about the size of Py UNICODE .|A long discussion ensued over why Python sometimes needs to default to UCS-4 Unicode -LRB- to avoid breaking an existing UCS-4 Tkinter -RRB- , whether to expose the size of Py_UNICODE to extension developers -LRB- they wo n't take ` no ' for an answer -RRB- , and whether Python should provide better support for high surrogate pairs -LRB- it should -RRB- .
PEP 310 | bdfl_pronouncement| support | Guido and Marc Andres Lemburg both agreed that the documentation is incorrect , so Nicholas set out to fix the documentation by removing the 16 bit reference and adding a caveat for extension developers not to make assumptions about the size of Py UNICODE .|A long discussion ensued over why Python sometimes needs to default to UCS-4 Unicode -LRB- to avoid breaking an existing UCS-4 Tkinter -RRB- , whether to expose the size of Py_UNICODE to extension developers -LRB- they wo n't take ` no ' for an answer -RRB- , and whether Python should provide better support for high surrogate pairs -LRB- it should -RRB- .
PEP 310 | bdfl_pronouncement| discussion | Guido and Marc Andres Lemburg both agreed that the documentation is incorrect , so Nicholas set out to fix the documentation by removing the 16 bit reference and adding a caveat for extension developers not to make assumptions about the size of Py UNICODE .|A long discussion ensued over why Python sometimes needs to default to UCS-4 Unicode -LRB- to avoid breaking an existing UCS-4 Tkinter -RRB- , whether to expose the size of Py_UNICODE to extension developers -LRB- they wo n't take ` no ' for an answer -RRB- , and whether Python should provide better support for high surrogate pairs -LRB- it should -RRB- .
PEP 310 | bdfl_pronouncement| support | Guido and Marc Andres Lemburg both agreed that the documentation is incorrect , so Nicholas set out to fix the documentation by removing the 16 bit reference and adding a caveat for extension developers not to make assumptions about the size of Py UNICODE .|A long discussion ensued over why Python sometimes needs to default to UCS-4 Unicode -LRB- to avoid breaking an existing UCS-4 Tkinter -RRB- , whether to expose the size of Py_UNICODE to extension developers -LRB- they wo n't take ` no ' for an answer -RRB- , and whether Python should provide better support for high surrogate pairs -LRB- it should -RRB- .
PEP 310 | bdfl_pronouncement| discussion | Guido and Marc Andres Lemburg both agreed that the documentation is incorrect , so Nicholas set out to fix the documentation by removing the 16 bit reference and adding a caveat for extension developers not to make assumptions about the size of Py UNICODE .|A long discussion ensued over why Python sometimes needs to default to UCS-4 Unicode -LRB- to avoid breaking an existing UCS-4 Tkinter -RRB- , whether to expose the size of Py_UNICODE to extension developers -LRB- they wo n't take ` no ' for an answer -RRB- , and whether Python should provide better support for high surrogate pairs -LRB- it should -RRB- .
PEP 310 | bdfl_pronouncement| support | Guido and Marc Andres Lemburg both agreed that the documentation is incorrect , so Nicholas set out to fix the documentation by removing the 16 bit reference and adding a caveat for extension developers not to make assumptions about the size of Py UNICODE .|A long discussion ensued over why Python sometimes needs to default to UCS-4 Unicode -LRB- to avoid breaking an existing UCS-4 Tkinter -RRB- , whether to expose the size of Py_UNICODE to extension developers -LRB- they wo n't take ` no ' for an answer -RRB- , and whether Python should provide better support for high surrogate pairs -LRB- it should -RRB- .
PEP 310 | proposal| discussion | Some waxings on PEP 310 PEP 310 proposes the with ' syntax that came up a while back that 20 sparked an immense discussion on python dev .|Some waxings on PEP 310 PEP 310 proposes the with ' syntax that came up a while back that 20 sparked an immense discussion on python dev .
PEP 310 | proposal| discussion | Some waxings on PEP 310 PEP 310 proposes the with ' syntax that came up a while back that 20 sparked an immense discussion on python dev .|----------------------- Some waxings on PEP 310 ----------------------- PEP 310 proposes the ` with ' syntax that came up a while back that = 20 sparked an immense discussion on python-dev .
PEP 310 | proposal| discussion | PEP 310 http www.python.org peps pep 0310.html proposes a more condensed syntax using a new keyword with .|I have seen some PEP310 discussion on comp.python.devel and I hope PEP310 will be implemented in the next version of Python -LRB- 2.4 -RRB- as written on the PEP-310 page .
PEP 310 | proposal| discussion | Some waxings on PEP 310 PEP 310 proposes the with ' syntax that came up a while back that sparked an immense discussion on python dev .|Some waxings on PEP 310 PEP 310 proposes the with ' syntax that came up a while back that sparked an immense discussion on python dev .
PEP 310 | proposal| discussion | Some waxings on PEP 310 PEP 310 proposes the with ' syntax that came up a while back that sparked an immense discussion on python dev .|----------------------- Some waxings on PEP 310 ----------------------- PEP 310 proposes the ` with ' syntax that came up a while back that sparked an immense discussion on python-dev .
PEP 310 | accepted| discussion | It continues , mentioning PEP 310 Reliable Acquisition Release Pairs which is at Draft '' status and unlikely to be accepted with the keyword with '' as Guido wants to use that for another purpose .|The discussion of cyclic garbage also troubles me but is not an area in which I have much experience .
PEP 311 | rejected| discussion | The PEP was eventually rejected and has the details of 20 why it was rejected in the end .|A discussion of PEP 317 broke out on python-dev .
PEP 311 | rejected| discussion | The PEP was eventually rejected and has the details of 20 why it was rejected in the end .|Part of this discussion forked off to discuss exception masking .
PEP 311 | rejected| discussion | The PEP was eventually rejected and has the details of 20 why it was rejected in the end .|A discussion of PEP 317 broke out on python-dev .
PEP 311 | rejected| discussion | The PEP was eventually rejected and has the details of 20 why it was rejected in the end .|Part of this discussion forked off to discuss exception masking .
PEP 311 | rejected| discussion | The PEP was eventually rejected and has the details of 20 why it was rejected in the end .|A discussion of PEP 317 broke out on python-dev .
PEP 311 | rejected| discussion | The PEP was eventually rejected and has the details of 20 why it was rejected in the end .|Part of this discussion forked off to discuss exception masking .
PEP 311 | rejected| discussion | The PEP was eventually rejected and has the details of 20 why it was rejected in the end .|A discussion of PEP 317 broke out on python-dev .
PEP 311 | rejected| discussion | The PEP was eventually rejected and has the details of 20 why it was rejected in the end .|Part of this discussion forked off to discuss exception masking .
PEP 311 | rejected| discussion | The PEP was eventually rejected and has the details of why it was rejected in the end .|A discussion of PEP 317 broke out on python-dev .
PEP 311 | rejected| discussion | The PEP was eventually rejected and has the details of why it was rejected in the end .|Part of this discussion forked off to discuss exception masking .
PEP 311 | rejected| discussion | The PEP was eventually rejected and has the details of why it was rejected in the end .|A discussion of PEP 317 broke out on python-dev .
PEP 311 | rejected| discussion | The PEP was eventually rejected and has the details of why it was rejected in the end .|Part of this discussion forked off to discuss exception masking .
PEP 312 | deferred| discussion | The PEP is now deferred .|* Raymond suggested accepting ` PEP 312 ` _ -LRB- `` Simple Implicit Lambda '' -RRB- , which resulted in the most discussion of any of the PEP recommendations .
PEP 312 | deferred| discussion | The PEP is now deferred .|* Raymond suggested accepting ` PEP 312 ` _ -LRB- `` Simple Implicit Lambda '' -RRB- , which resulted in the most discussion of any of the PEP recommendations .
PEP 312 | deferred| discussion | The PEP is now deferred .|* Raymond suggested accepting ` PEP 312 ` _ -LRB- `` Simple Implicit Lambda '' -RRB- , which resulted in the most discussion of any of the PEP recommendations .
PEP 315 | proposal| discussion | He was subsequently referred to PEP 315 , which proposes a slightly different syntax for a similar purpose .|The discussion expanded to not only do-while loops , but also loops with break conditions at locations other than the beginning and the end of a loop .
PEP 315 | proposal| discussion | He was subsequently referred to PEP 315 , which proposes a slightly different syntax for a similar purpose .|The discussion expanded to not only do-while loops , but also loops with break conditions at locations other than the beginning and the end of a loop .
PEP 315 | proposal| discussion | He was subsequently referred to PEP 315 , which proposes a slightly different syntax for a similar purpose .|The discussion expanded to not only do-while loops , but also loops with break conditions at locations other than the beginning and the end of a loop .
PEP 315 | proposal| discussion | He was subsequently referred to PEP 315 , which proposes a slightly different syntax for a similar purpose .|The discussion expanded to not only do-while loops , but also loops with break conditions at locations other than the beginning and the end of a loop .
PEP 315 | proposal| discussion | He was subsequently referred to PEP 315 , which proposes a slightly different syntax for a similar purpose .|The discussion expanded to not only do-while loops , but also loops with break conditions at locations other than the beginning and the end of a loop .
PEP 315 | proposal| discussion | He was subsequently referred to PEP 315 , which proposes a slightly different syntax for a similar purpose .|The discussion expanded to not only do-while loops , but also loops with break conditions at locations other than the beginning and the end of a loop .
