PEP 2 | proposal | support | No changes to finderloader interfaces Rather than attempting to update the PEP 302 APIs to accept additional state , this PEP proposes that ImportEngine support the content management protocol similar to the context substitution mechanisms in the decimal module . | from engine sysengine to start with a copy of the process global import state . | 
PEP 3115 | proposal | support | This PEP proposes to instead support a wide range of customisation scenarios through a new namespace parameter in the class header , and a new init subclass hook in the class body . | This custom metaclass then persists for the entire lifecycle of the class , creating the potential for spurious metaclass conflicts . | 
PEP 3115 | proposal | support | This PEP proposes to instead support a wide range of customisation scenarios through a new namespace parameter in the class header , and a new init subclass hook in the class body . | This custom metaclass then persists for the entire lifecycle of the class , creating the potential for spurious metaclass conflicts . | 
PEP 3115 | proposal | support | This PEP proposes to instead support a wide range of customisation scenarios through a new namespace parameter in the class header , and a new init subclass hook in the class body . | txt 7,8 7,8 Type Standards Track Content Type textx rst Created 27 Feb 2015 Python Version 3.5 Post History 27 Feb 2015 Python Version 3.6 Post History 27 Feb 2015 , 5 Feb 2016 Replaces 422 20,127 20,80 creating the potential for spurious metaclass conflicts . | 
PEP 3115 | proposal | majority | Proposal This PEP proposes that a new mechanism to customise class creation be added to Python 3.5 that meets the following criteria While there are many possible ways to use a metaclass , the vast majority of use cases falls into just three categories some initialization code running after class creation , the initalization of descriptors and keeping the order in which class attributes were defined . | While the library itself continues to work perfectly , suddenly every code combining those classes with classes from another library fails . | 
PEP 3122 | updated | feedback | I 've updated the PEP to incorporate the feedback from this thread . | 20070706080601.8C3B.JCARLSON uci.edu | The new version is below , and should show up on the website shortly .
PEP 3132 | accepted | discussion | After a short discussion on the python 3000 list 1 , the PEP was accepted by Guido in its current form . | Open Issues Acceptance Should the catch all expression be assigned a list or a tuple of items ? | 
PEP 3132 | bdfl_pronouncement_accepted | discussion | After a short discussion on the python 3000 list 1 , the PEP was accepted by Guido in its current form . | Open Issues Acceptance Should the catch all expression be assigned a list or a tuple of items ? | 
PEP 3132 | bdfl_pronouncement_accepted | discussion | After a short discussion on the python 3000 list 1 , the PEP was accepted by Guido in its current form . | Open Issues Acceptance Should the catch all expression be assigned a list or a tuple of items ? | 
PEP 3135 | proposal | support | This PEP proposes to instead support a wide range of customisation scenarios through a new namespace parameter in the class header , and a new init class hook in the class body . | Instead , the class creation process is fully defined by the class header , before the class body even begins executing . | 
PEP 3135 | proposal | support | This PEP proposes to instead support a wide range of customisation scenarios through a new namespace parameter in the class header , and a new init subclass hook in the class body . | This custom metaclass then persists for the entire lifecycle of the class , creating the potential for spurious metaclass conflicts . | 
PEP 3135 | proposal | support | This PEP proposes to instead support a wide range of customisation scenarios through a new namespace parameter in the class header , and a new init subclass hook in the class body . | This custom metaclass then persists for the entire lifecycle of the class , creating the potential for spurious metaclass conflicts . | 
PEP 3135 | proposal | support | This PEP proposes to instead support a wide range of customisation scenarios through a new namespace parameter in the class header , and a new init subclass hook in the class body . | txt 7,8 7,8 Type Standards Track Content Type textx rst Created 27 Feb 2015 Python Version 3.5 Post History 27 Feb 2015 Python Version 3.6 Post History 27 Feb 2015 , 5 Feb 2016 Replaces 422 20,127 20,80 creating the potential for spurious metaclass conflicts . | 
PEP 3135 | proposal | majority | Proposal This PEP proposes that a new mechanism to customise class creation be added to Python 3.5 that meets the following criteria While there are many possible ways to use a metaclass , the vast majority of use cases falls into just three categories some initialization code running after class creation , the initalization of descriptors and keeping the order in which class attributes were defined . | While the library itself continues to work perfectly , suddenly every code combining those classes with classes from another library fails . | 
PEP 3137 | proposal | support | This PEP proposes to deprecate that behavior in Python 3.6 , but to leave it in place for at least as long as Python 2.7 is supported , possibly indefinitely . | bytes 3 b ' x00 x00 x00 ' bytearray 3 bytearray b ' x00 x00 x00 ' | No other changes are proposed to the existing constructors .
PEP 3137 | proposal | support | This PEP proposes to deprecate that behavior in Python 3.6 , but to leave it in place for at least as long as Python 2.7 is supported , possibly indefinitely . | bytes 3 b ' x00 x00 x00 ' bytearray 3 bytearray b ' x00 x00 x00 ' | No other changes are proposed to the existing constructors .
PEP 3142 | rejected | support | It was merely deferred due to only garnering lukewarm support and lack of a reference implementation rather than actually being rejected http mail.python.orgpipermailpython dev2006 February060718.html | Adding a do while construct to Python has already been proposed http www.python.orgdevpepspep 0315 | 
PEP 9 | accepted | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 308 | vote | discussion | Following the discussion , a vote was held . | Status Rejected Type Standards Track Content Type textplain 31,34 31,41 discussion , and a discussion of short circuit behavior . | 
PEP 308 | vote | discussion | Following the discussion , a vote was held . | Status Rejected Type Standards Track Content Type textplain 31,34 31,41 discussion , and a discussion of short circuit behavior . | 
PEP 308 | vote_after_discussion | discussion | Following the discussion , a vote was held . | Status Rejected Type Standards Track Content Type textplain 31,34 31,41 discussion , and a discussion of short circuit behavior . | 
PEP 308 | rejected | majority | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change . | While there was an overall interest in having some form of if then else expressions , no one format was able to draw majority support . | 
PEP 308 | rejected | majority | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change . | While there was an overall interest in having some form of if then else expressions , no one format was able to draw majority support . | 
PEP 308 | vote | discussion | Following the discussion , a vote was held . | My first reaction on reading this statement in the introduction was that it seemed disingenuous but I 'm sure it was not intentionally so | 
PEP 308 | vote | discussion | Following the discussion , a vote was held . | My first reaction on reading this statement in the introduction was that it seemed disingenuous but I 'm sure it was not intentionally so | 
PEP 308 | vote_after_discussion | discussion | Following the discussion , a vote was held . | My first reaction on reading this statement in the introduction was that it seemed disingenuous but I 'm sure it was not intentionally so | 
PEP 308 | rejected | majority | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change . '' | While there was an overall interest in having some form of if then else expressions , no one format was able to draw majority support . | OTOH , in a different context I might be all for this approach  
PEP 308 | rejected | majority | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change . '' | While there was an overall interest in having some form of if then else expressions , no one format was able to draw majority support . | OTOH , in a different context I might be all for this approach  
PEP 308 | accepted | support | So not only is this system not democratic in the obvious sense of majority rules '' if you get more votes than , the PEP is approved , it 's also almost never even about gathering numerical support which is what this would be able to show . | This does n't strictly equate to number of signatures '' , which is how these sorts of petitions are often treated in modern politics it 's more about strength of argument . | 
PEP 308 | accepted | majority | So not only is this system not democratic in the obvious sense of majority rules '' if you get more votes than , the PEP is approved , it 's also almost never even about gathering numerical support which is what this would be able to show . | This does n't strictly equate to number of signatures '' , which is how these sorts of petitions are often treated in modern politics it 's more about strength of argument . | 
PEP 9 | accepted | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 9 | accepted | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 9 | final | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 9 | accepted | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 9 | accepted | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 9 | final | discussion | However , none of the discussion changed the BDFL 's mind and the PEP 's acceptance is now final . | Because of the exceptionally short period from first draft to acceptance , the main objections brought up after acceptance were carefully considered and have been reflected in the Alternate proposals '' section below . | 
PEP 308 | vote | discussion | Following the discussion , a vote was held . | Status Rejected Type Standards Track Content Type text plain 31,34 31,41 discussion , and a discussion of short circuit behavior . | 
PEP 308 | vote | discussion | Following the discussion , a vote was held . | Status Rejected Type Standards Track Content Type text plain 31,34 31,41 discussion , and a discussion of short circuit behavior . | 
PEP 308 | vote_after_discussion | discussion | Following the discussion , a vote was held . | Status Rejected Type Standards Track Content Type text plain 31,34 31,41 discussion , and a discussion of short circuit behavior . | 
PEP 308 | rejected | majority | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change . | While there was an overall interest in having some form of if then else expressions , no one format was able to draw majority support . | 
PEP 308 | rejected | majority | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change . | While there was an overall interest in having some form of if then else expressions , no one format was able to draw majority support . | 
PEP 308 | vote | discussion | Following the discussion , a vote was held . | My first reaction on reading this statement in the introduction was that it seemed disingenuous but I 'm sure it was not intentionally so | 
PEP 308 | vote | discussion | Following the discussion , a vote was held . | My first reaction on reading this statement in the introduction was that it seemed disingenuous but I 'm sure it was not intentionally so | 
PEP 308 | vote_after_discussion | discussion | Following the discussion , a vote was held . | My first reaction on reading this statement in the introduction was that it seemed disingenuous but I 'm sure it was not intentionally so | 
PEP 308 | rejected | majority | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change . '' | While there was an overall interest in having some form of if then else expressions , no one format was able to draw majority support . | OTOH , in a different context I might be all for this approach  
PEP 308 | rejected | majority | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change . '' | While there was an overall interest in having some form of if then else expressions , no one format was able to draw majority support . | OTOH , in a different context I might be all for this approach  
PEP 308 | vote | discussion | Following the discussion , a vote was held . | Status Rejected Type Standards Track Content Type text plain 31,34 31,41 discussion , and a discussion of short circuit behavior . | 
PEP 308 | vote | discussion | Following the discussion , a vote was held . | Status Rejected Type Standards Track Content Type text plain 31,34 31,41 discussion , and a discussion of short circuit behavior . | 
PEP 308 | vote_after_discussion | discussion | Following the discussion , a vote was held . | Status Rejected Type Standards Track Content Type text plain 31,34 31,41 discussion , and a discussion of short circuit behavior . | 
PEP 308 | rejected | majority | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change . | While there was an overall interest in having some form of if then else expressions , no one format was able to draw majority support . | 
PEP 308 | rejected | majority | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change . | While there was an overall interest in having some form of if then else expressions , no one format was able to draw majority support . | 
PEP 308 | vote | discussion | Following the discussion , a vote was held . | My first reaction on reading this statement in the introduction was that it seemed disingenuous but I 'm sure it was not intentionally so | 
PEP 308 | vote | discussion | Following the discussion , a vote was held . | My first reaction on reading this statement in the introduction was that it seemed disingenuous but I 'm sure it was not intentionally so | 
PEP 308 | vote_after_discussion | discussion | Following the discussion , a vote was held . | My first reaction on reading this statement in the introduction was that it seemed disingenuous but I 'm sure it was not intentionally so | 
PEP 308 | rejected | majority | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change . '' | While there was an overall interest in having some form of if then else expressions , no one format was able to draw majority support . | OTOH , in a different context I might be all for this approach  
PEP 308 | rejected | majority | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change . '' | While there was an overall interest in having some form of if then else expressions , no one format was able to draw majority support . | OTOH , in a different context I might be all for this approach  
PEP 308 | vote | discussion | Following the discussion , a vote was held . | Status Rejected Type Standards Track Content Type text plain 31,34 31,41 discussion , and a discussion of short circuit behavior . | 
PEP 308 | vote | discussion | Following the discussion , a vote was held . | Status Rejected Type Standards Track Content Type text plain 31,34 31,41 discussion , and a discussion of short circuit behavior . | 
PEP 308 | vote_after_discussion | discussion | Following the discussion , a vote was held . | Status Rejected Type Standards Track Content Type text plain 31,34 31,41 discussion , and a discussion of short circuit behavior . | 
PEP 308 | rejected | majority | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change . | While there was an overall interest in having some form of if then else expressions , no one format was able to draw majority support . | 
PEP 308 | rejected | majority | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change . | While there was an overall interest in having some form of if then else expressions , no one format was able to draw majority support . | 
PEP 308 | vote | discussion | Following the discussion , a vote was held . | My first reaction on reading this statement in the introduction was that it seemed disingenuous but I 'm sure it was not intentionally so | 
PEP 308 | vote | discussion | Following the discussion , a vote was held . | My first reaction on reading this statement in the introduction was that it seemed disingenuous but I 'm sure it was not intentionally so | 
PEP 308 | vote_after_discussion | discussion | Following the discussion , a vote was held . | My first reaction on reading this statement in the introduction was that it seemed disingenuous but I 'm sure it was not intentionally so | 
PEP 308 | rejected | majority | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change . '' | While there was an overall interest in having some form of if then else expressions , no one format was able to draw majority support . | OTOH , in a different context I might be all for this approach  
PEP 308 | rejected | majority | Accordingly , the PEP was rejected due to the lack of an overwhelming majority for change . '' | While there was an overall interest in having some form of if then else expressions , no one format was able to draw majority support . | OTOH , in a different context I might be all for this approach  
PEP 2 | proposal | support | No changes to finder loader interfaces Rather than attempting to update the PEP 302 APIs to accept additional state , this PEP proposes that ImportEngine support the content management protocol similar to the context substitution mechanisms in the decimal module . | Intended for use by importers and loaders that have been updated to accept optional engine parameters and with ImportEngine.from engine sysengine to start with a copy of the process global import state . | 
PEP 8 | proposal | consensus | This PEP proposes a generic Docstring Processing System DPS framework , which separates out the components program and conceptual , enabling the resolution of individual issues either through consensus one solution or through divergence many . | The issues surrounding docstring processing have been contentious and difficult to resolve . | 
