PEP 2 | proposal| feedback | This PEP proposes a transitional state for modules inclusion in a special preview package for the duration of a minor release roughly 18 months prior to full acceptance into the standard library .|If the module ends up graduating into the standard library after + spending a minor release in `` __ preview __ `` , its API may be changed according + to accumulated feedback .
PEP 315 | proposal| discussion | He was subsequently referred to PEP 315 , which proposes a slightly different syntax for a similar purpose .|The discussion expanded to not only do-while loops , but also loops with break conditions at locations other than the beginning and the end of a loop .
PEP 315 | proposal| discussion | He was subsequently referred to PEP 315 , which proposes a slightly different syntax for a similar purpose .|The discussion expanded to not only do-while loops , but also loops with break conditions at locations other than the beginning and the end of a loop .
PEP 315 | proposal| discussion | He was subsequently referred to PEP 315 , which proposes a slightly different syntax for a similar purpose .|The discussion expanded to not only do-while loops , but also loops with break conditions at locations other than the beginning and the end of a loop .
PEP 315 | proposal| discussion | He was subsequently referred to PEP 315 , which proposes a slightly different syntax for a similar purpose .|The discussion expanded to not only do-while loops , but also loops with break conditions at locations other than the beginning and the end of a loop .
PEP 317 | rejected| discussion | Quoth I ... PEP 317 rejected ...|These additions have been made : <http://www.python.org/peps/pep-0317.html#rejection> -LRB- et seq. -RRB- If anyone feels that the additions omit or inadequately treat important points raised in the discussion , please let me know .
PEP 317 | rejected| discussion | The PEP was eventually rejected and has the details of 20 why it was rejected in the end .|A discussion of PEP 317 broke out on python-dev .
PEP 317 | rejected| discussion | The PEP was eventually rejected and has the details of 20 why it was rejected in the end .|Part of this discussion forked off to discuss exception masking .
PEP 317 | rejected| discussion | The PEP was eventually rejected and has the details of 20 why it was rejected in the end .|A discussion of PEP 317 broke out on python-dev .
PEP 317 | rejected| discussion | The PEP was eventually rejected and has the details of 20 why it was rejected in the end .|Part of this discussion forked off to discuss exception masking .
PEP 317 | rejected| discussion | The PEP was eventually rejected and has the details of 20 why it was rejected in the end .|A discussion of PEP 317 broke out on python-dev .
PEP 317 | rejected| discussion | The PEP was eventually rejected and has the details of 20 why it was rejected in the end .|Part of this discussion forked off to discuss exception masking .
PEP 317 | rejected| discussion | The PEP was eventually rejected and has the details of 20 why it was rejected in the end .|A discussion of PEP 317 broke out on python-dev .
PEP 317 | rejected| discussion | The PEP was eventually rejected and has the details of 20 why it was rejected in the end .|Part of this discussion forked off to discuss exception masking .
PEP 317 | rejected| discussion | The PEP was eventually rejected and has the details of why it was rejected in the end .|A discussion of PEP 317 broke out on python-dev .
PEP 317 | rejected| discussion | The PEP was eventually rejected and has the details of why it was rejected in the end .|Part of this discussion forked off to discuss exception masking .
PEP 317 | rejected| discussion | The PEP was eventually rejected and has the details of why it was rejected in the end .|A discussion of PEP 317 broke out on python-dev .
PEP 317 | rejected| discussion | The PEP was eventually rejected and has the details of why it was rejected in the end .|Part of this discussion forked off to discuss exception masking .
PEP 318 | updated| support | I 'm working on changes to PEP 318 which incorporate class decorators .|Michael Hudson 's latest patch supports them .
PEP 318 | proposal| discussion | I ca n't think of a simpler or more consistent way to handle all the variations proposed in PEP 318 .|-LRB- See the thread `` Unification of Methods and Functions '' for a thorough discussion of this topic . -RRB-
PEP 318 | proposal| discussion | But it seems reasonable to me to take their meaning to be defined by some combination of 1 the PEP that proposes their introduction , 2 the discussion that preceded and followed the writing of that PEP , and 3 the actual implementations people have produced .|But it seems reasonable to me to take their meaning to be defined by some combination of 1 the PEP that proposes their introduction , 2 the discussion that preceded and followed the writing of that PEP , and 3 the actual implementations people have produced .
PEP 318 | proposal| discussion | But it seems reasonable to me to take their meaning to be defined by some combination of 1 the PEP that proposes their introduction , 2 the discussion that preceded and followed the writing of that PEP , and 3 the actual implementations people have produced .|Unless my mail archives are broken , your first entry into this discussion was when you declared that `` Decorators are metadata about the function to which they refer . '' .
PEP 318 | proposal| discussion | But it seems reasonable to me to take their meaning to be defined by some combination of 1 the PEP that proposes their introduction , 2 the discussion that preceded and followed the writing of that PEP , and 3 the actual implementations people have produced .|But it seems reasonable to me to take their meaning to be defined by some combination of -LRB- 1 -RRB- the PEP that proposes their introduction , -LRB- 2 -RRB- the discussion that preceded and followed the writing of that PEP , and -LRB- 3 -RRB- the actual implementations people have produced .
PEP 318 | updated| discussion | I checked in Anthony 's changes to PEP 318 sent in private email with very few modifications .|What would be helpful are pointers to other documents and concise summaries of some of the discussions on c.l. py and python-dev .
PEP 318 | updated| discussion | I checked in Anthony 's changes to PEP 318 sent in private email with very few modifications .|What would be helpful are pointers to other documents and concise summaries of some of the discussions on c.l. py and python-dev .
PEP 318 | proposal| discussion | I would like to see some clarification of the purpose and meaning of a decoration .|Most of the discussion has focused on syntax .
PEP 318 | proposal| discussion | I would like to see some clarification of the purpose and meaning of a decoration .|Most of the discussion has focused on syntax .
PEP 319 | accepted| discussion | The PEP has been approved in principle by the BDFL , but there are The PEP was approved in principle by the BDFL , but there were still a couple of implementation details to be worked out see the section on Open Issues .|Modified : Log : Update with outcome of recent python-dev discussions
PEP 319 | proposal| discussion | Condition Standard Terminology Discussions about iterators and iterables are aided by the standard 384,7 399,7 This PEP proposes that the protocol used by the with statement be known as the context management protocol '' , and that objects that implement that protocol be known as context managers '' .|Modified : Log : Update with outcome of recent python-dev discussions
PEP 319 | proposal| consensus | This PEP proposes that the protocol used by the with statement be known as the context management protocol '' , and that objects that implement that protocol be known as context managers '' .|txt Log : Clarify the original meanings I intended for various terms , and record the fact that gaining consensus on the terminology is still an open issue
PEP 319 | proposal| consensus | This PEP proposes that the protocol consisting of the enter and exit methods , and a context method that returns self be known as the context management protocol '' , and that objects that implement that protocol be known as context managers '' .|txt Log : Clarify the original meanings I intended for various terms , and record the fact that gaining consensus on the terminology is still an open issue
PEP 319 | accepted| consensus | This PEP was accepted by Guido at his EuroPython keynote , 27 June 2005 .|txt Log : Clarify the original meanings I intended for various terms , and record the fact that gaining consensus on the terminology is still an open issue
PEP 319 | bdfl_pronouncement_accepted| consensus | This PEP was accepted by Guido at his EuroPython keynote , 27 June 2005 .|txt Log : Clarify the original meanings I intended for various terms , and record the fact that gaining consensus on the terminology is still an open issue
PEP 319 | bdfl_pronouncement_accepted| consensus | This PEP was accepted by Guido at his EuroPython keynote , 27 June 2005 .|txt Log : Clarify the original meanings I intended for various terms , and record the fact that gaining consensus on the terminology is still an open issue
PEP 319 | accepted| consensus | This PEP was first accepted by Guido at his EuroPython keynote , 27 June 2005 .|txt Log : Clarify the original meanings I intended for various terms , and record the fact that gaining consensus on the terminology is still an open issue
PEP 319 | bdfl_pronouncement_accepted| consensus | This PEP was first accepted by Guido at his EuroPython keynote , 27 June 2005 .|txt Log : Clarify the original meanings I intended for various terms , and record the fact that gaining consensus on the terminology is still an open issue
PEP 319 | bdfl_pronouncement_accepted| consensus | This PEP was first accepted by Guido at his EuroPython keynote , 27 June 2005 .|txt Log : Clarify the original meanings I intended for various terms , and record the fact that gaining consensus on the terminology is still an open issue
PEP 321 | proposal| support | This PEP proposes adding a family of predefined parsing function for several commonly used date and time formats , and a facility for generic parsing .|There 's no support for parsing strings in various formats and returning a corresponding instance of one of the types .
PEP 321 | proposal| support | This PEP proposes adding a family of predefined parsing function for several commonly used date and time formats , and a facility for generic parsing .|There 's no support for parsing strings in various formats and returning a corresponding instance of one of the types .
PEP 321 | proposal| discussion | PEP 0321 proposes a number of extensions to it .|A few weeks ago , c.l. py carried a discussion on PEP 0321 . .
PEP 322 | updated| feedback | pep 322 reverse iteration revised , please comment .|Based on your extensive feedback , PEP 322 has been completely revised .
PEP 322 | updated| feedback | pep 322 reverse iteration revised , please comment .|Based on your extensive feedback , PEP 322 has been completely revised .
PEP 322 | updated| discussion | pep 322 reverse iteration revised , please comment .|As a relative Python newbie , I 'd just like to echo those who have asked for reverse -LRB- -RRB- instead of ireverse -LRB- -RRB- or inreverse -LRB- -RRB- , or at least a discussion about why that would not be a good choice .
PEP 322 | updated| discussion | pep 322 reverse iteration revised , please comment .|As a relative Python newbie , I 'd just like to echo those who have asked for reverse -LRB- -RRB- instead of ireverse -LRB- -RRB- or inreverse -LRB- -RRB- , or at least a discussion about why that would not be a good choice .
PEP 325 | proposal| support | This PEP proposes that the built in generator type implement a close method and destruction semantics , such that the restriction on yield placement can be lifted , expanding the applicability of generators .|The typical idiom for timely release is not supported , a yield statement is not allowed in the try clause of a try-finally statement inside a generator .
PEP 325 | proposal| support | This PEP proposes that generators should grow such a close method with such semantics that the example could be rewritten as|# Today this is not valid Python : yield is not allowed between # try and finally , and generator type instances support no # close method .
PEP 327 | updated| discussion | PEP 327 was revised to make certain issues more explicit and to discuss possible function naming summarized below .|This lead to a discussion about how to name various things .
PEP 327 | updated| discussion | PEP 327 was revised to make certain issues more explicit and to discuss possible function naming summarized below .|This lead to a discussion about how to name various things .
PEP 327 | updated| discussion | PEP 327 was revised to make certain issues more explicit and to discuss possible function naming summarized below .|This lead to a discussion about how to name various things .
PEP 328 | bdfl_pronouncement| support | Guido definitely agreed with the move from to a callable , but it was unclear as to his preference for function or method .|He produced a format -LRB- -RRB- function where arguments could be specified either by position -LRB- e.g. $ 1 , $ 2 , etc. -RRB- or with keywords -LRB- e.g. $ item , $ quantity -RRB- , and where the usual C-style format specifiers were still supported : :
PEP 328 | bdfl_pronouncement| discussion | Guido agreed , indicating that args will continue to be sequences in Python 3.0 .|I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for \* args , sequences were preferable to iterators in a number of situations .
PEP 328 | bdfl_pronouncement| support | Guido definitely agreed with the move from to a callable , but it was unclear as to his preference for function or method .|He produced a format -LRB- -RRB- function where arguments could be specified either by position -LRB- e.g. $ 1 , $ 2 , etc. -RRB- or with keywords -LRB- e.g. $ item , $ quantity -RRB- , and where the usual C-style format specifiers were still supported : :
PEP 328 | bdfl_pronouncement| discussion | Guido agreed , indicating that args will continue to be sequences in Python 3.0 .|I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for \* args , sequences were preferable to iterators in a number of situations .
PEP 328 | bdfl_pronouncement| support | Guido definitely agreed with the move from to a callable , but it was unclear as to his preference for function or method .|He produced a format -LRB- -RRB- function where arguments could be specified either by position -LRB- e.g. $ 1 , $ 2 , etc. -RRB- or with keywords -LRB- e.g. $ item , $ quantity -RRB- , and where the usual C-style format specifiers were still supported : :
PEP 328 | bdfl_pronouncement| discussion | Guido agreed , indicating that args will continue to be sequences in Python 3.0 .|I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for \* args , sequences were preferable to iterators in a number of situations .
PEP 328 | bdfl_pronouncement| support | Guido definitely agreed with the move from to a callable , but it was unclear as to his preference for function or method .|He produced a format -LRB- -RRB- function where arguments could be specified either by position -LRB- e.g. $ 1 , $ 2 , etc. -RRB- or with keywords -LRB- e.g. $ item , $ quantity -RRB- , and where the usual C-style format specifiers were still supported : :
PEP 328 | bdfl_pronouncement| discussion | Guido agreed , indicating that args will continue to be sequences in Python 3.0 .|I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for \* args , sequences were preferable to iterators in a number of situations .
PEP 328 | bdfl_pronouncement| support | Guido definitely agreed with the move from to a callable , but it was unclear as to his preference for function or method .|He produced a format -LRB- -RRB- function where arguments could be specified either by position -LRB- e.g. $ 1 , $ 2 , etc. -RRB- or with keywords -LRB- e.g. $ item , $ quantity -RRB- , and where the usual C-style format specifiers were still supported : :
PEP 328 | bdfl_pronouncement| discussion | Guido agreed , indicating that args will continue to be sequences in Python 3.0 .|I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for \* args , sequences were preferable to iterators in a number of situations .
PEP 328 | bdfl_pronouncement| support | Guido definitely agreed with the move from to a callable , but it was unclear as to his preference for function or method .|He produced a format -LRB- -RRB- function where arguments could be specified either by position -LRB- e.g. $ 1 , $ 2 , etc. -RRB- or with keywords -LRB- e.g. $ item , $ quantity -RRB- , and where the usual C-style format specifiers were still supported : :
PEP 328 | bdfl_pronouncement| discussion | Guido agreed , indicating that args will continue to be sequences in Python 3.0 .|I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for \* args , sequences were preferable to iterators in a number of situations .
PEP 328 | bdfl_pronouncement| support | Guido definitely agreed with the move from to a callable , but it was unclear as to his preference for function or method .|He produced a format -LRB- -RRB- function where arguments could be specified either by position -LRB- e.g. $ 1 , $ 2 , etc. -RRB- or with keywords -LRB- e.g. $ item , $ quantity -RRB- , and where the usual C-style format specifiers were still supported : :
PEP 328 | bdfl_pronouncement| discussion | Guido agreed , indicating that args will continue to be sequences in Python 3.0 .|I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for \* args , sequences were preferable to iterators in a number of situations .
PEP 328 | bdfl_pronouncement| support | Guido definitely agreed with the move from to a callable , but it was unclear as to his preference for function or method .|He produced a format -LRB- -RRB- function where arguments could be specified either by position -LRB- e.g. $ 1 , $ 2 , etc. -RRB- or with keywords -LRB- e.g. $ item , $ quantity -RRB- , and where the usual C-style format specifiers were still supported : :
PEP 328 | bdfl_pronouncement| discussion | Guido agreed , indicating that args will continue to be sequences in Python 3.0 .|I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for \* args , sequences were preferable to iterators in a number of situations .
PEP 328 | bdfl_pronouncement| support | Guido definitely agreed with the move from to a callable , but it was unclear as to his preference for function or method .|He produced a format -LRB- -RRB- function where arguments could be specified either by position -LRB- e.g. $ 1 , $ 2 , etc. -RRB- or with keywords -LRB- e.g. $ item , $ quantity -RRB- , and where the usual C-style format specifiers were still supported : :
PEP 328 | bdfl_pronouncement| discussion | Guido agreed , indicating that args will continue to be sequences in Python 3.0 .|I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for \* args , sequences were preferable to iterators in a number of situations .
PEP 328 | bdfl_pronouncement| support | Guido definitely agreed with the move from to a callable , but it was unclear as to his preference for function or method .|He produced a format -LRB- -RRB- function where arguments could be specified either by position -LRB- e.g. $ 1 , $ 2 , etc. -RRB- or with keywords -LRB- e.g. $ item , $ quantity -RRB- , and where the usual C-style format specifiers were still supported : :
PEP 328 | bdfl_pronouncement| discussion | Guido agreed , indicating that args will continue to be sequences in Python 3.0 .|I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for \* args , sequences were preferable to iterators in a number of situations .
PEP 328 | bdfl_pronouncement| support | Guido definitely agreed with the move from to a callable , but it was unclear as to his preference for function or method .|He produced a format -LRB- -RRB- function where arguments could be specified either by position -LRB- e.g. $ 1 , $ 2 , etc. -RRB- or with keywords -LRB- e.g. $ item , $ quantity -RRB- , and where the usual C-style format specifiers were still supported : :
PEP 328 | bdfl_pronouncement| discussion | Guido agreed , indicating that args will continue to be sequences in Python 3.0 .|I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for \* args , sequences were preferable to iterators in a number of situations .
PEP 328 | bdfl_pronouncement| support | Guido definitely agreed with the move from to a callable , but it was unclear as to his preference for function or method .|He produced a format -LRB- -RRB- function where arguments could be specified either by position -LRB- e.g. $ 1 , $ 2 , etc. -RRB- or with keywords -LRB- e.g. $ item , $ quantity -RRB- , and where the usual C-style format specifiers were still supported : :
PEP 328 | bdfl_pronouncement| discussion | Guido agreed , indicating that args will continue to be sequences in Python 3.0 .|I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for \* args , sequences were preferable to iterators in a number of situations .
PEP 328 | bdfl_pronouncement| support | Guido definitely agreed with the move from to a callable , but it was unclear as to his preference for function or method .|He produced a format -LRB- -RRB- function where arguments could be specified either by position -LRB- e.g. $ 1 , $ 2 , etc. -RRB- or with keywords -LRB- e.g. $ item , $ quantity -RRB- , and where the usual C-style format specifiers were still supported : :
PEP 328 | bdfl_pronouncement| discussion | Guido agreed , indicating that args will continue to be sequences in Python 3.0 .|I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for \* args , sequences were preferable to iterators in a number of situations .
PEP 328 | bdfl_pronouncement| support | Guido definitely agreed with the move from to a callable , but it was unclear as to his preference for function or method .|He produced a format -LRB- -RRB- function where arguments could be specified either by position -LRB- e.g. $ 1 , $ 2 , etc. -RRB- or with keywords -LRB- e.g. $ item , $ quantity -RRB- , and where the usual C-style format specifiers were still supported : :
PEP 328 | bdfl_pronouncement| discussion | Guido agreed , indicating that args will continue to be sequences in Python 3.0 .|I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for \* args , sequences were preferable to iterators in a number of situations .
PEP 328 | bdfl_pronouncement| support | Guido definitely agreed with the move from to a callable , but it was unclear as to his preference for function or method .|He produced a format -LRB- -RRB- function where arguments could be specified either by position -LRB- e.g. $ 1 , $ 2 , etc. -RRB- or with keywords -LRB- e.g. $ item , $ quantity -RRB- , and where the usual C-style format specifiers were still supported : :
PEP 328 | bdfl_pronouncement| discussion | Guido agreed , indicating that args will continue to be sequences in Python 3.0 .|I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for \* args , sequences were preferable to iterators in a number of situations .
PEP 328 | bdfl_pronouncement| support | Guido definitely agreed with the move from to a callable , but it was unclear as to his preference for function or method .|He produced a format -LRB- -RRB- function where arguments could be specified either by position -LRB- e.g. $ 1 , $ 2 , etc. -RRB- or with keywords -LRB- e.g. $ item , $ quantity -RRB- , and where the usual C-style format specifiers were still supported : :
PEP 328 | bdfl_pronouncement| discussion | Guido agreed , indicating that args will continue to be sequences in Python 3.0 .|I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for \* args , sequences were preferable to iterators in a number of situations .
PEP 328 | bdfl_pronouncement| support | Guido definitely agreed with the move from to a callable , but it was unclear as to his preference for function or method .|He produced a format -LRB- -RRB- function where arguments could be specified either by position -LRB- e.g. $ 1 , $ 2 , etc. -RRB- or with keywords -LRB- e.g. $ item , $ quantity -RRB- , and where the usual C-style format specifiers were still supported : :
PEP 328 | bdfl_pronouncement| discussion | Guido agreed , indicating that args will continue to be sequences in Python 3.0 .|I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for \* args , sequences were preferable to iterators in a number of situations .
PEP 328 | bdfl_pronouncement| support | Guido definitely agreed with the move from to a callable , but it was unclear as to his preference for function or method .|He produced a format -LRB- -RRB- function where arguments could be specified either by position -LRB- e.g. $ 1 , $ 2 , etc. -RRB- or with keywords -LRB- e.g. $ item , $ quantity -RRB- , and where the usual C-style format specifiers were still supported : :
PEP 328 | bdfl_pronouncement| discussion | Guido agreed , indicating that args will continue to be sequences in Python 3.0 .|I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for \* args , sequences were preferable to iterators in a number of situations .
PEP 328 | bdfl_pronouncement| support | Guido definitely agreed with the move from to a callable , but it was unclear as to his preference for function or method .|He produced a format -LRB- -RRB- function where arguments could be specified either by position -LRB- e.g. $ 1 , $ 2 , etc. -RRB- or with keywords -LRB- e.g. $ item , $ quantity -RRB- , and where the usual C-style format specifiers were still supported : :
PEP 328 | bdfl_pronouncement| discussion | Guido agreed , indicating that args will continue to be sequences in Python 3.0 .|I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for \* args , sequences were preferable to iterators in a number of situations .
PEP 328 | bdfl_pronouncement| support | Guido definitely agreed with the move from to a callable , but it was unclear as to his preference for function or method .|He produced a format -LRB- -RRB- function where arguments could be specified either by position -LRB- e.g. $ 1 , $ 2 , etc. -RRB- or with keywords -LRB- e.g. $ item , $ quantity -RRB- , and where the usual C-style format specifiers were still supported : :
PEP 328 | bdfl_pronouncement| discussion | Guido agreed , indicating that args will continue to be sequences in Python 3.0 .|I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for \* args , sequences were preferable to iterators in a number of situations .
PEP 328 | bdfl_pronouncement| support | Guido definitely agreed with the move from to a callable , but it was unclear as to his preference for function or method .|He produced a format -LRB- -RRB- function where arguments could be specified either by position -LRB- e.g. $ 1 , $ 2 , etc. -RRB- or with keywords -LRB- e.g. $ item , $ quantity -RRB- , and where the usual C-style format specifiers were still supported : :
PEP 328 | bdfl_pronouncement| discussion | Guido agreed , indicating that args will continue to be sequences in Python 3.0 .|I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for \* args , sequences were preferable to iterators in a number of situations .
PEP 328 | bdfl_pronouncement| support | Guido definitely agreed with the move from to a callable , but it was unclear as to his preference for function or method .|He produced a format -LRB- -RRB- function where arguments could be specified either by position -LRB- e.g. $ 1 , $ 2 , etc. -RRB- or with keywords -LRB- e.g. $ item , $ quantity -RRB- , and where the usual C-style format specifiers were still supported : :
PEP 328 | bdfl_pronouncement| discussion | Guido agreed , indicating that args will continue to be sequences in Python 3.0 .|I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for \* args , sequences were preferable to iterators in a number of situations .
PEP 328 | bdfl_pronouncement| support | Guido definitely agreed with the move from to a callable , but it was unclear as to his preference for function or method .|He produced a format -LRB- -RRB- function where arguments could be specified either by position -LRB- e.g. $ 1 , $ 2 , etc. -RRB- or with keywords -LRB- e.g. $ item , $ quantity -RRB- , and where the usual C-style format specifiers were still supported : :
PEP 328 | bdfl_pronouncement| discussion | Guido agreed , indicating that args will continue to be sequences in Python 3.0 .|I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for \* args , sequences were preferable to iterators in a number of situations .
PEP 328 | bdfl_pronouncement| support | Guido definitely agreed with the move from to a callable , but it was unclear as to his preference for function or method .|He produced a format -LRB- -RRB- function where arguments could be specified either by position -LRB- e.g. $ 1 , $ 2 , etc. -RRB- or with keywords -LRB- e.g. $ item , $ quantity -RRB- , and where the usual C-style format specifiers were still supported : :
PEP 328 | bdfl_pronouncement| discussion | Guido agreed , indicating that args will continue to be sequences in Python 3.0 .|I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for \* args , sequences were preferable to iterators in a number of situations .
PEP 328 | bdfl_pronouncement| support | Guido definitely agreed with the move from to a callable , but it was unclear as to his preference for function or method .|He produced a format -LRB- -RRB- function where arguments could be specified either by position -LRB- e.g. $ 1 , $ 2 , etc. -RRB- or with keywords -LRB- e.g. $ item , $ quantity -RRB- , and where the usual C-style format specifiers were still supported : :
PEP 328 | bdfl_pronouncement| discussion | Guido agreed , indicating that args will continue to be sequences in Python 3.0 .|I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for \* args , sequences were preferable to iterators in a number of situations .
PEP 328 | bdfl_pronouncement| support | Guido definitely agreed with the move from to a callable , but it was unclear as to his preference for function or method .|He produced a format -LRB- -RRB- function where arguments could be specified either by position -LRB- e.g. $ 1 , $ 2 , etc. -RRB- or with keywords -LRB- e.g. $ item , $ quantity -RRB- , and where the usual C-style format specifiers were still supported : :
PEP 328 | bdfl_pronouncement| discussion | Guido agreed , indicating that args will continue to be sequences in Python 3.0 .|I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for \* args , sequences were preferable to iterators in a number of situations .
PEP 328 | bdfl_pronouncement| support | Guido definitely agreed with the move from to a callable , but it was unclear as to his preference for function or method .|He produced a format -LRB- -RRB- function where arguments could be specified either by position -LRB- e.g. $ 1 , $ 2 , etc. -RRB- or with keywords -LRB- e.g. $ item , $ quantity -RRB- , and where the usual C-style format specifiers were still supported : :
PEP 328 | bdfl_pronouncement| discussion | Guido agreed , indicating that args will continue to be sequences in Python 3.0 .|I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for \* args , sequences were preferable to iterators in a number of situations .
PEP 328 | bdfl_pronouncement| support | Guido definitely agreed with the move from to a callable , but it was unclear as to his preference for function or method .|He produced a format -LRB- -RRB- function where arguments could be specified either by position -LRB- e.g. $ 1 , $ 2 , etc. -RRB- or with keywords -LRB- e.g. $ item , $ quantity -RRB- , and where the usual C-style format specifiers were still supported : :
PEP 328 | bdfl_pronouncement| discussion | Guido agreed , indicating that args will continue to be sequences in Python 3.0 .|I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for \* args , sequences were preferable to iterators in a number of situations .
PEP 328 | bdfl_pronouncement| support | Guido definitely agreed with the move from to a callable , but it was unclear as to his preference for function or method .|He produced a format -LRB- -RRB- function where arguments could be specified either by position -LRB- e.g. $ 1 , $ 2 , etc. -RRB- or with keywords -LRB- e.g. $ item , $ quantity -RRB- , and where the usual C-style format specifiers were still supported : :
PEP 328 | bdfl_pronouncement| discussion | Guido agreed , indicating that args will continue to be sequences in Python 3.0 .|I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for \* args , sequences were preferable to iterators in a number of situations .
PEP 328 | bdfl_pronouncement| support | Guido definitely agreed with the move from to a callable , but it was unclear as to his preference for function or method .|He produced a format -LRB- -RRB- function where arguments could be specified either by position -LRB- e.g. $ 1 , $ 2 , etc. -RRB- or with keywords -LRB- e.g. $ item , $ quantity -RRB- , and where the usual C-style format specifiers were still supported : :
PEP 328 | bdfl_pronouncement| discussion | Guido agreed , indicating that args will continue to be sequences in Python 3.0 .|I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for \* args , sequences were preferable to iterators in a number of situations .
PEP 328 | bdfl_pronouncement| support | Guido definitely agreed with the move from to a callable , but it was unclear as to his preference for function or method .|He produced a format -LRB- -RRB- function where arguments could be specified either by position -LRB- e.g. $ 1 , $ 2 , etc. -RRB- or with keywords -LRB- e.g. $ item , $ quantity -RRB- , and where the usual C-style format specifiers were still supported : :
PEP 328 | bdfl_pronouncement| discussion | Guido agreed , indicating that args will continue to be sequences in Python 3.0 .|I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for \* args , sequences were preferable to iterators in a number of situations .
PEP 328 | bdfl_pronouncement| support | Guido definitely agreed with the move from to a callable , but it was unclear as to his preference for function or method .|He produced a format -LRB- -RRB- function where arguments could be specified either by position -LRB- e.g. $ 1 , $ 2 , etc. -RRB- or with keywords -LRB- e.g. $ item , $ quantity -RRB- , and where the usual C-style format specifiers were still supported : :
PEP 328 | bdfl_pronouncement| discussion | Guido agreed , indicating that args will continue to be sequences in Python 3.0 .|I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for \* args , sequences were preferable to iterators in a number of situations .
PEP 328 | bdfl_pronouncement| support | Guido definitely agreed with the move from to a callable , but it was unclear as to his preference for function or method .|He produced a format -LRB- -RRB- function where arguments could be specified either by position -LRB- e.g. $ 1 , $ 2 , etc. -RRB- or with keywords -LRB- e.g. $ item , $ quantity -RRB- , and where the usual C-style format specifiers were still supported : :
PEP 328 | bdfl_pronouncement| discussion | Guido agreed , indicating that args will continue to be sequences in Python 3.0 .|I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for \* args , sequences were preferable to iterators in a number of situations .
PEP 328 | bdfl_pronouncement| support | Guido definitely agreed with the move from to a callable , but it was unclear as to his preference for function or method .|He produced a format -LRB- -RRB- function where arguments could be specified either by position -LRB- e.g. $ 1 , $ 2 , etc. -RRB- or with keywords -LRB- e.g. $ item , $ quantity -RRB- , and where the usual C-style format specifiers were still supported : :
PEP 328 | bdfl_pronouncement| discussion | Guido agreed , indicating that args will continue to be sequences in Python 3.0 .|I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for \* args , sequences were preferable to iterators in a number of situations .
PEP 328 | bdfl_pronouncement| support | Guido definitely agreed with the move from to a callable , but it was unclear as to his preference for function or method .|He produced a format -LRB- -RRB- function where arguments could be specified either by position -LRB- e.g. $ 1 , $ 2 , etc. -RRB- or with keywords -LRB- e.g. $ item , $ quantity -RRB- , and where the usual C-style format specifiers were still supported : :
PEP 328 | bdfl_pronouncement| discussion | Guido agreed , indicating that args will continue to be sequences in Python 3.0 .|I pointed him to a previous discussion Raymond Hettinger and I had about the subject that indicated that for \* args , sequences were preferable to iterators in a number of situations .
