PEP 318 | proposal | discussion | My humble hope is that this document helps to improve the quality of the ongoing discussion . | Knowing we want something ' , but not spelling it out . | 2 .
PEP 344 | null | discussion | A lot of discussion about the specifics of the PEP took place , and Ka Ping is working these into a revised version . | Guido likes the motivation and rationale , but feels that the specification needs more work . | One of the major questions was whether there is no need for both   context   and   cause      to differentiate between explicit and implicit chaining  )  .
PEP 344 | null | discussion | A lot of discussion about the specifics of the PEP took place , and Ka Ping is working these into a revised version . | Guido likes the motivation and rationale , but feels that the specification needs more work . | One of the major questions was whether there is no need for both   context   and   cause      to differentiate between explicit and implicit chaining  )  .
PEP 344 | null | discussion | A lot of discussion about the specifics of the PEP took place , and Ka Ping is working these into a revised version . | Guido likes the motivation and rationale , but feels that the specification needs more work . | One of the major questions was whether there is no need for both   context   and   cause      to differentiate between explicit and implicit chaining  )  .
PEP 344 | null | discussion | A lot of discussion about the specifics of the PEP took place , and Ka Ping is working these into a revised version . | Guido likes the motivation and rationale , but feels that the specification needs more work . | One of the major questions was whether there is no need for both   context   and   cause      to differentiate between explicit and implicit chaining  )  .
PEP 344 | null | discussion | A lot of discussion about the specifics of the PEP took place , and Ka Ping is working these into a revised version . | Guido likes the motivation and rationale , but feels that the specification needs more work . | One of the major questions was whether there is no need for both   context   and   cause      to differentiate between explicit and implicit chaining  )  .
PEP 344 | null | discussion | A lot of discussion about the specifics of the PEP took place , and Ka Ping is working these into a revised version . | Guido likes the motivation and rationale , but feels that the specification needs more work . | One of the major questions was whether there is no need for both   context   and   cause      to differentiate between explicit and implicit chaining  )  .
PEP 344 | null | discussion | A lot of discussion about the specifics of the PEP took place , and Ka Ping is working these into a revised version . | Guido likes the motivation and rationale , but feels that the specification needs more work . | One of the major questions was whether there is no need for both   context   and   cause      to differentiate between explicit and implicit chaining  )  .
PEP 344 | null | discussion | A lot of discussion about the specifics of the PEP took place , and Ka Ping is working these into a revised version . | Guido likes the motivation and rationale , but feels that the specification needs more work . | One of the major questions was whether there is no need for both   context   and   cause      to differentiate between explicit and implicit chaining  )  .
PEP 344 | null | discussion | A lot of discussion about the specifics of the PEP took place , and Ka Ping is working these into a revised version . | Guido likes the motivation and rationale , but feels that the specification needs more work . | One of the major questions was whether there is no need for both   context   and   cause      to differentiate between explicit and implicit chaining  )  .
PEP 344 | null | discussion | Flesh out arguments for TerminatingException Reorganize discussion of hierarchy difference compared to 2.4 Strip out unneeded Rejected Idea sections based on other discussions in the PEP | Minor changes | 
PEP 344 | null | discussion | Flesh out arguments for TerminatingException Reorganize discussion of hierarchy difference compared to 2.4 Strip out unneeded Rejected Idea sections based on other discussions in the PEP | Minor changes | 
PEP 344 | null | discussion | Flesh out arguments for TerminatingException Reorganize discussion of hierarchy difference compared to 2.4 Strip out unneeded Rejected Idea sections based on other discussions in the PEP | Minor changes | 
PEP 344 | null | discussion | Flesh out arguments for TerminatingException Reorganize discussion of hierarchy difference compared to 2.4 Strip out unneeded Rejected Idea sections based on other discussions in the PEP | Minor changes | 
PEP 344 | null | discussion | Flesh out arguments for TerminatingException Reorganize discussion of hierarchy difference compared to 2.4 Strip out unneeded Rejected Idea sections based on other discussions in the PEP | Minor changes | 
PEP 344 | null | discussion | Flesh out arguments for TerminatingException Reorganize discussion of hierarchy difference compared to 2.4 Strip out unneeded Rejected Idea sections based on other discussions in the PEP | Minor changes | 
PEP 345 | updated | discussion | I 've updated the PEP accordingly , and also made some changes after the discussions we had with Martin on Distutils SIG on how versions are defined . | Packages 1.2 4B325C50.6040902 v.loewis.de 94bdd2610912231107p6fbfe13ei7ef2e77a00dc14fe mail.gmail.com 75d5dd69b850e9bd793b43618327e655 preisshare.net 871vilqhsy.fsf uwakimon.sk.tsukuba.ac.jp e626d66af534e03f22749f3dd4a6ff73 preisshare.net 4B3333DF.40705 v.loewis.de 94bdd2610912240152r6131ec9ay2ada83f66aa17b35 mail.gmail.com 4B334109.2060708 v.loewis.de 4B346ACE.2030400 gmail.com | FYI we have introduced a range operator , so one may define a range of versions .
PEP 345 | updated | discussion | I 've updated the PEP accordingly , and also made some changes after the discussions we had with Martin on Distutils SIG on how versions are defined . | Packages 1.2 4B325C50.6040902 v.loewis.de 94bdd2610912231107p6fbfe13ei7ef2e77a00dc14fe mail.gmail.com 75d5dd69b850e9bd793b43618327e655 preisshare.net 871vilqhsy.fsf uwakimon.sk.tsukuba.ac.jp e626d66af534e03f22749f3dd4a6ff73 preisshare.net 4B3333DF.40705 v.loewis.de 94bdd2610912240152r6131ec9ay2ada83f66aa17b35 mail.gmail.com 4B334109.2060708 v.loewis.de 4B346ACE.2030400 gmail.com | FYI we have introduced a range operator , so one may define a range of versions .
PEP 345 | updated | discussion | I 've updated the PEP accordingly , and also made some changes after the discussions we had with Martin on Distutils SIG on how versions are defined . | Packages 1.2 4B325C50.6040902 v.loewis.de 94bdd2610912231107p6fbfe13ei7ef2e77a00dc14fe mail.gmail.com 75d5dd69b850e9bd793b43618327e655 preisshare.net 871vilqhsy.fsf uwakimon.sk.tsukuba.ac.jp e626d66af534e03f22749f3dd4a6ff73 preisshare.net 4B3333DF.40705 v.loewis.de 94bdd2610912240152r6131ec9ay2ada83f66aa17b35 mail.gmail.com 4B334109.2060708 v.loewis.de 4B346ACE.2030400 gmail.com | FYI we have introduced a range operator , so one may define a range of versions .
PEP 345 | updated | feedback | I 've updated PEP 345 with this feedback . | 4B3266CF.7030705 v.loewis.de 94bdd2610912231123o6d3236c7j289df78391083ac5 mail.gmail.com 4B3279E9.4010507 v.loewis.de 94bdd2610912231311h44e5563bn98fab09cab3c37f1 mail.gmail.com 4B3324B2.3030708 v.loewis.de 94bdd2610912240132t345b4d8bnc1bc81d5ae82b194 mail.gmail.com 4B334626.6040505 v.loewis.de 94bdd2610912250412m4402a238j741ce6c3bc7ba53d mail.gmail.com 4B353C81.1080702 v.loewis.de | I 've made the range         )  operator the default one , and added more details on how versions works .
PEP 345 | updated | discussion | I 've updated the PEP accordingly , and also made some changes after the discussions we had with Martin on Distutils SIG on how versions are defined . | Packages 1.2 4B325C50.6040902 v.loewis.de 94bdd2610912231107p6fbfe13ei7ef2e77a00dc14fe mail.gmail.com 75d5dd69b850e9bd793b43618327e655 preisshare.net 871vilqhsy.fsf uwakimon.sk.tsukuba.ac.jp e626d66af534e03f22749f3dd4a6ff73 preisshare.net 4B3333DF.40705 v.loewis.de 94bdd2610912240152r6131ec9ay2ada83f66aa17b35 mail.gmail.com 4B334109.2060708 v.loewis.de 4B346ACE.2030400 gmail.com | FYI we have introduced a range operator , so one may define a range of versions .
PEP 345 | updated | discussion | I 've updated the PEP accordingly , and also made some changes after the discussions we had with Martin on Distutils SIG on how versions are defined . | Packages 1.2 4B325C50.6040902 v.loewis.de 94bdd2610912231107p6fbfe13ei7ef2e77a00dc14fe mail.gmail.com 75d5dd69b850e9bd793b43618327e655 preisshare.net 871vilqhsy.fsf uwakimon.sk.tsukuba.ac.jp e626d66af534e03f22749f3dd4a6ff73 preisshare.net 4B3333DF.40705 v.loewis.de 94bdd2610912240152r6131ec9ay2ada83f66aa17b35 mail.gmail.com 4B334109.2060708 v.loewis.de 4B346ACE.2030400 gmail.com | FYI we have introduced a range operator , so one may define a range of versions .
PEP 345 | updated | discussion | I 've updated the PEP accordingly , and also made some changes after the discussions we had with Martin on Distutils SIG on how versions are defined . | Packages 1.2 4B325C50.6040902 v.loewis.de 94bdd2610912231107p6fbfe13ei7ef2e77a00dc14fe mail.gmail.com 75d5dd69b850e9bd793b43618327e655 preisshare.net 871vilqhsy.fsf uwakimon.sk.tsukuba.ac.jp e626d66af534e03f22749f3dd4a6ff73 preisshare.net 4B3333DF.40705 v.loewis.de 94bdd2610912240152r6131ec9ay2ada83f66aa17b35 mail.gmail.com 4B334109.2060708 v.loewis.de 4B346ACE.2030400 gmail.com | FYI we have introduced a range operator , so one may define a range of versions .
PEP 345 | updated | feedback | I 've updated PEP 345 with this feedback . | 4B3266CF.7030705 v.loewis.de 94bdd2610912231123o6d3236c7j289df78391083ac5 mail.gmail.com 4B3279E9.4010507 v.loewis.de 94bdd2610912231311h44e5563bn98fab09cab3c37f1 mail.gmail.com 4B3324B2.3030708 v.loewis.de 94bdd2610912240132t345b4d8bnc1bc81d5ae82b194 mail.gmail.com 4B334626.6040505 v.loewis.de 94bdd2610912250412m4402a238j741ce6c3bc7ba53d mail.gmail.com 4B353C81.1080702 v.loewis.de | I 've made the range         )  operator the default one , and added more details on how versions works .
PEP 346 | null | discussion | A lot of discussion about the specifics of the PEP took place , and Ka Ping is working these into a revised version . | Guido likes the motivation and rationale , but feels that the specification needs more work . | One of the major questions was whether there is no need for both   context   and   cause      to differentiate between explicit and implicit chaining  )  .
PEP 346 | null | discussion | A lot of discussion about the specifics of the PEP took place , and Ka Ping is working these into a revised version . | Guido likes the motivation and rationale , but feels that the specification needs more work . | One of the major questions was whether there is no need for both   context   and   cause      to differentiate between explicit and implicit chaining  )  .
PEP 346 | null | discussion | A lot of discussion about the specifics of the PEP took place , and Ka Ping is working these into a revised version . | Guido likes the motivation and rationale , but feels that the specification needs more work . | One of the major questions was whether there is no need for both   context   and   cause      to differentiate between explicit and implicit chaining  )  .
PEP 346 | null | discussion | A lot of discussion about the specifics of the PEP took place , and Ka Ping is working these into a revised version . | Guido likes the motivation and rationale , but feels that the specification needs more work . | One of the major questions was whether there is no need for both   context   and   cause      to differentiate between explicit and implicit chaining  )  .
PEP 346 | null | discussion | A lot of discussion about the specifics of the PEP took place , and Ka Ping is working these into a revised version . | Guido likes the motivation and rationale , but feels that the specification needs more work . | One of the major questions was whether there is no need for both   context   and   cause      to differentiate between explicit and implicit chaining  )  .
PEP 346 | null | discussion | A lot of discussion about the specifics of the PEP took place , and Ka Ping is working these into a revised version . | Guido likes the motivation and rationale , but feels that the specification needs more work . | One of the major questions was whether there is no need for both   context   and   cause      to differentiate between explicit and implicit chaining  )  .
PEP 346 | null | discussion | A lot of discussion about the specifics of the PEP took place , and Ka Ping is working these into a revised version . | Guido likes the motivation and rationale , but feels that the specification needs more work . | One of the major questions was whether there is no need for both   context   and   cause      to differentiate between explicit and implicit chaining  )  .
PEP 346 | null | discussion | A lot of discussion about the specifics of the PEP took place , and Ka Ping is working these into a revised version . | Guido likes the motivation and rationale , but feels that the specification needs more work . | One of the major questions was whether there is no need for both   context   and   cause      to differentiate between explicit and implicit chaining  )  .
PEP 346 | null | discussion | A lot of discussion about the specifics of the PEP took place , and Ka Ping is working these into a revised version . | Guido likes the motivation and rationale , but feels that the specification needs more work . | One of the major questions was whether there is no need for both   context   and   cause      to differentiate between explicit and implicit chaining  )  .
PEP 346 | null | discussion | A lot of discussion about the specifics of the PEP took place , and Ka Ping is working these into a revised version . | Guido likes the motivation and rationale , but feels that the specification needs more work . | One of the major questions was whether there is no need for both   context   and   cause      to differentiate between explicit and implicit chaining  )  .
PEP 346 | null | discussion | A lot of discussion about the specifics of the PEP took place , and Ka Ping is working these into a revised version . | Guido likes the motivation and rationale , but feels that the specification needs more work . | One of the major questions was whether there is no need for both   context   and   cause      to differentiate between explicit and implicit chaining  )  .
PEP 346 | null | discussion | A lot of discussion about the specifics of the PEP took place , and Ka Ping is working these into a revised version . | Guido likes the motivation and rationale , but feels that the specification needs more work . | One of the major questions was whether there is no need for both   context   and   cause      to differentiate between explicit and implicit chaining  )  .
PEP 346 | null | discussion | A lot of discussion about the specifics of the PEP took place , and Ka Ping is working these into a revised version . | Guido likes the motivation and rationale , but feels that the specification needs more work . | One of the major questions was whether there is no need for both   context   and   cause      to differentiate between explicit and implicit chaining  )  .
PEP 346 | null | discussion | A lot of discussion about the specifics of the PEP took place , and Ka Ping is working these into a revised version . | Guido likes the motivation and rationale , but feels that the specification needs more work . | One of the major questions was whether there is no need for both   context   and   cause      to differentiate between explicit and implicit chaining  )  .
PEP 346 | null | discussion | A lot of discussion about the specifics of the PEP took place , and Ka Ping is working these into a revised version . | Guido likes the motivation and rationale , but feels that the specification needs more work . | One of the major questions was whether there is no need for both   context   and   cause      to differentiate between explicit and implicit chaining  )  .
PEP 346 | null | discussion | A lot of discussion about the specifics of the PEP took place , and Ka Ping is working these into a revised version . | Guido likes the motivation and rationale , but feels that the specification needs more work . | One of the major questions was whether there is no need for both   context   and   cause      to differentiate between explicit and implicit chaining  )  .
PEP 346 | null | discussion | A lot of discussion about the specifics of the PEP took place , and Ka Ping is working these into a revised version . | Guido likes the motivation and rationale , but feels that the specification needs more work . | One of the major questions was whether there is no need for both   context   and   cause      to differentiate between explicit and implicit chaining  )  .
PEP 346 | null | discussion | A lot of discussion about the specifics of the PEP took place , and Ka Ping is working these into a revised version . | Guido likes the motivation and rationale , but feels that the specification needs more work . | One of the major questions was whether there is no need for both   context   and   cause      to differentiate between explicit and implicit chaining  )  .
PEP 346 | null | discussion | A lot of discussion about the specifics of the PEP took place , and Ka Ping is working these into a revised version . | Guido likes the motivation and rationale , but feels that the specification needs more work . | One of the major questions was whether there is no need for both   context   and   cause      to differentiate between explicit and implicit chaining  )  .
PEP 346 | null | discussion | A lot of discussion about the specifics of the PEP took place , and Ka Ping is working these into a revised version . | Guido likes the motivation and rationale , but feels that the specification needs more work . | One of the major questions was whether there is no need for both   context   and   cause      to differentiate between explicit and implicit chaining  )  .
PEP 346 | null | discussion | A lot of discussion about the specifics of the PEP took place , and Ka Ping is working these into a revised version . | Guido likes the motivation and rationale , but feels that the specification needs more work . | One of the major questions was whether there is no need for both   context   and   cause      to differentiate between explicit and implicit chaining  )  .
PEP 346 | null | discussion | A lot of discussion about the specifics of the PEP took place , and Ka Ping is working these into a revised version . | Guido likes the motivation and rationale , but feels that the specification needs more work . | One of the major questions was whether there is no need for both   context   and   cause      to differentiate between explicit and implicit chaining  )  .
PEP 346 | null | discussion | A lot of discussion about the specifics of the PEP took place , and Ka Ping is working these into a revised version . | Guido likes the motivation and rationale , but feels that the specification needs more work . | One of the major questions was whether there is no need for both   context   and   cause      to differentiate between explicit and implicit chaining  )  .
PEP 346 | null | discussion | A lot of discussion about the specifics of the PEP took place , and Ka Ping is working these into a revised version . | Guido likes the motivation and rationale , but feels that the specification needs more work . | One of the major questions was whether there is no need for both   context   and   cause      to differentiate between explicit and implicit chaining  )  .
PEP 346 | null | discussion | A lot of discussion about the specifics of the PEP took place , and Ka Ping is working these into a revised version . | Guido likes the motivation and rationale , but feels that the specification needs more work . | One of the major questions was whether there is no need for both   context   and   cause      to differentiate between explicit and implicit chaining  )  .
PEP 346 | null | discussion | A lot of discussion about the specifics of the PEP took place , and Ka Ping is working these into a revised version . | Guido likes the motivation and rationale , but feels that the specification needs more work . | One of the major questions was whether there is no need for both   context   and   cause      to differentiate between explicit and implicit chaining  )  .
PEP 346 | null | discussion | A lot of discussion about the specifics of the PEP took place , and Ka Ping is working these into a revised version . | Guido likes the motivation and rationale , but feels that the specification needs more work . | One of the major questions was whether there is no need for both   context   and   cause      to differentiate between explicit and implicit chaining  )  .
PEP 346 | null | discussion | A lot of discussion about the specifics of the PEP took place , and Ka Ping is working these into a revised version . | Guido likes the motivation and rationale , but feels that the specification needs more work . | One of the major questions was whether there is no need for both   context   and   cause      to differentiate between explicit and implicit chaining  )  .
PEP 346 | null | discussion | A lot of discussion about the specifics of the PEP took place , and Ka Ping is working these into a revised version . | Guido likes the motivation and rationale , but feels that the specification needs more work . | One of the major questions was whether there is no need for both   context   and   cause      to differentiate between explicit and implicit chaining  )  .
PEP 346 | null | discussion | A lot of discussion about the specifics of the PEP took place , and Ka Ping is working these into a revised version . | Guido likes the motivation and rationale , but feels that the specification needs more work . | One of the major questions was whether there is no need for both   context   and   cause      to differentiate between explicit and implicit chaining  )  .
PEP 347 | null | discussion | The PEP evolution and discussion are still continuing in August , and since this is for Python 3.0 , are likely to be considered open for some time yet . | The PEP contains the current status for each of these exceptions . | . .
PEP 347 | null | discussion | The PEP evolution and discussion are still continuing in August , and since this is for Python 3.0 , are likely to be considered open for some time yet . | The PEP contains the current status for each of these exceptions . | . .
PEP 347 | null | discussion | The PEP evolution and discussion are still continuing in August , and since this is for Python 3.0 , are likely to be considered open for some time yet . | The PEP contains the current status for each of these exceptions . | . .
PEP 347 | null | discussion | The PEP evolution and discussion are still continuing in August , and since this is for Python 3.0 , are likely to be considered open for some time yet . | The PEP contains the current status for each of these exceptions . | . .
PEP 347 | null | discussion | The PEP evolution and discussion are still continuing in August , and since this is for Python 3.0 , are likely to be considered open for some time yet . | The PEP contains the current status for each of these exceptions . | . .
PEP 347 | null | discussion | The PEP evolution and discussion are still continuing in August , and since this is for Python 3.0 , are likely to be considered open for some time yet . | The PEP contains the current status for each of these exceptions . | . .
PEP 347 | null | discussion | There was a brief discussion about consistency between this proposal and the operator module 's itemgetter and attrgetter which , unlike Martin 's proposal , use argument strings instead of attributes to determine the appropriate function to produce . | where the virtual '' object would serve as a virtual instance so that the self '' argument to the lower '' method could be supplied later . | 
PEP 347 | null | feedback | There was a little feedback on the proposal , with a few people wanting to go back to the text builtin instead of changing str , but no final decisions were made . | Otherwise subclasses of unicode would likely get UnicodeEncodeErrors when their str methods were called . | 
PEP 347 | null | feedback | There was a little feedback on the proposal , with a few people wanting to go back to the text builtin instead of changing str , but no final decisions were made . | Otherwise subclasses of unicode would likely get UnicodeEncodeErrors when their str methods were called . | 
PEP 347 | null | discussion | There was a brief discussion about consistency between this proposal and the operator module 's itemgetter and attrgetter which , unlike Martin 's proposal , use argument strings instead of attributes to determine the appropriate function to produce . | where the virtual '' object would serve as a virtual instance so that the self '' argument to the lower '' method could be supplied later . | 
PEP 347 | null | feedback | There was a little feedback on the proposal , with a few people wanting to go back to the text builtin instead of changing str , but no final decisions were made . | Otherwise subclasses of unicode would likely get UnicodeEncodeErrors when their str methods were called . | 
PEP 347 | null | feedback | There was a little feedback on the proposal , with a few people wanting to go back to the text builtin instead of changing str , but no final decisions were made . | Otherwise subclasses of unicode would likely get UnicodeEncodeErrors when their str methods were called . | 
PEP 347 | null | discussion | There was a brief discussion about consistency between this proposal and the operator module 's itemgetter and attrgetter which , unlike Martin 's proposal , use argument strings instead of attributes to determine the appropriate function to produce . | where the virtual '' object would serve as a virtual instance so that the self '' argument to the lower '' method could be supplied later . | 
PEP 347 | null | feedback | There was a little feedback on the proposal , with a few people wanting to go back to the text builtin instead of changing str , but no final decisions were made . | Otherwise subclasses of unicode would likely get UnicodeEncodeErrors when their str methods were called . | 
PEP 347 | null | feedback | There was a little feedback on the proposal , with a few people wanting to go back to the text builtin instead of changing str , but no final decisions were made . | Otherwise subclasses of unicode would likely get UnicodeEncodeErrors when their str methods were called . | 
PEP 347 | null | discussion | There was a brief discussion about consistency between this proposal and the operator module 's itemgetter and attrgetter which , unlike Martin 's proposal , use argument strings instead of attributes to determine the appropriate function to produce . | where the virtual '' object would serve as a virtual instance so that the self '' argument to the lower '' method could be supplied later . | 
PEP 347 | null | feedback | There was a little feedback on the proposal , with a few people wanting to go back to the text builtin instead of changing str , but no final decisions were made . | Otherwise subclasses of unicode would likely get UnicodeEncodeErrors when their str methods were called . | 
PEP 347 | null | feedback | There was a little feedback on the proposal , with a few people wanting to go back to the text builtin instead of changing str , but no final decisions were made . | Otherwise subclasses of unicode would likely get UnicodeEncodeErrors when their str methods were called . | 
PEP 347 | null | discussion | There was a brief discussion about consistency between this proposal and the operator module 's itemgetter and attrgetter which , unlike Martin 's proposal , use argument strings instead of attributes to determine the appropriate function to produce . | where the virtual '' object would serve as a virtual instance so that the self '' argument to the lower '' method could be supplied later . | 
PEP 347 | null | feedback | There was a little feedback on the proposal , with a few people wanting to go back to the text builtin instead of changing str , but no final decisions were made . | Otherwise subclasses of unicode would likely get UnicodeEncodeErrors when their str methods were called . | 
PEP 347 | null | feedback | There was a little feedback on the proposal , with a few people wanting to go back to the text builtin instead of changing str , but no final decisions were made . | Otherwise subclasses of unicode would likely get UnicodeEncodeErrors when their str methods were called . | 
PEP 347 | null | discussion | There was a brief discussion about consistency between this proposal and the operator module 's itemgetter and attrgetter which , unlike Martin 's proposal , use argument strings instead of attributes to determine the appropriate function to produce . | where the virtual '' object would serve as a virtual instance so that the self '' argument to the lower '' method could be supplied later . | 
PEP 347 | null | feedback | There was a little feedback on the proposal , with a few people wanting to go back to the text builtin instead of changing str , but no final decisions were made . | Otherwise subclasses of unicode would likely get UnicodeEncodeErrors when their str methods were called . | 
PEP 347 | null | feedback | There was a little feedback on the proposal , with a few people wanting to go back to the text builtin instead of changing str , but no final decisions were made . | Otherwise subclasses of unicode would likely get UnicodeEncodeErrors when their str methods were called . | 
PEP 347 | null | discussion | There was a brief discussion about consistency between this proposal and the operator module 's itemgetter and attrgetter which , unlike Martin 's proposal , use argument strings instead of attributes to determine the appropriate function to produce . | where the virtual '' object would serve as a virtual instance so that the self '' argument to the lower '' method could be supplied later . | 
PEP 347 | null | feedback | There was a little feedback on the proposal , with a few people wanting to go back to the text builtin instead of changing str , but no final decisions were made . | Otherwise subclasses of unicode would likely get UnicodeEncodeErrors when their str methods were called . | 
PEP 347 | null | feedback | There was a little feedback on the proposal , with a few people wanting to go back to the text builtin instead of changing str , but no final decisions were made . | Otherwise subclasses of unicode would likely get UnicodeEncodeErrors when their str methods were called . | 
PEP 347 | null | discussion | There was a brief discussion about consistency between this proposal and the operator module 's itemgetter and attrgetter which , unlike Martin 's proposal , use argument strings instead of attributes to determine the appropriate function to produce . | where the virtual '' object would serve as a virtual instance so that the self '' argument to the lower '' method could be supplied later . | 
PEP 347 | null | feedback | There was a little feedback on the proposal , with a few people wanting to go back to the text builtin instead of changing str , but no final decisions were made . | Otherwise subclasses of unicode would likely get UnicodeEncodeErrors when their str methods were called . | 
PEP 347 | null | feedback | There was a little feedback on the proposal , with a few people wanting to go back to the text builtin instead of changing str , but no final decisions were made . | Otherwise subclasses of unicode would likely get UnicodeEncodeErrors when their str methods were called . | 
PEP 347 | null | discussion | There was a brief discussion about consistency between this proposal and the operator module 's itemgetter and attrgetter which , unlike Martin 's proposal , use argument strings instead of attributes to determine the appropriate function to produce . | where the virtual '' object would serve as a virtual instance so that the self '' argument to the lower '' method could be supplied later . | 
PEP 347 | null | feedback | There was a little feedback on the proposal , with a few people wanting to go back to the text builtin instead of changing str , but no final decisions were made . | Otherwise subclasses of unicode would likely get UnicodeEncodeErrors when their str methods were called . | 
PEP 347 | null | feedback | There was a little feedback on the proposal , with a few people wanting to go back to the text builtin instead of changing str , but no final decisions were made . | Otherwise subclasses of unicode would likely get UnicodeEncodeErrors when their str methods were called . | 
PEP 347 | null | discussion | There was a brief discussion about consistency between this proposal and the operator module 's itemgetter and attrgetter which , unlike Martin 's proposal , use argument strings instead of attributes to determine the appropriate function to produce . | where the virtual '' object would serve as a virtual instance so that the self '' argument to the lower '' method could be supplied later . | 
PEP 347 | null | feedback | There was a little feedback on the proposal , with a few people wanting to go back to the text builtin instead of changing str , but no final decisions were made . | Otherwise subclasses of unicode would likely get UnicodeEncodeErrors when their str methods were called . | 
PEP 347 | null | feedback | There was a little feedback on the proposal , with a few people wanting to go back to the text builtin instead of changing str , but no final decisions were made . | Otherwise subclasses of unicode would likely get UnicodeEncodeErrors when their str methods were called . | 
PEP 347 | null | discussion | There was a brief discussion about consistency between this proposal and the operator module 's itemgetter and attrgetter which , unlike Martin 's proposal , use argument strings instead of attributes to determine the appropriate function to produce . | where the virtual '' object would serve as a virtual instance so that the self '' argument to the lower '' method could be supplied later . | 
PEP 347 | null | feedback | There was a little feedback on the proposal , with a few people wanting to go back to the text builtin instead of changing str , but no final decisions were made . | Otherwise subclasses of unicode would likely get UnicodeEncodeErrors when their str methods were called . | 
PEP 347 | null | feedback | There was a little feedback on the proposal , with a few people wanting to go back to the text builtin instead of changing str , but no final decisions were made . | Otherwise subclasses of unicode would likely get UnicodeEncodeErrors when their str methods were called . | 
PEP 347 | null | discussion | There was a brief discussion about consistency between this proposal and the operator module 's itemgetter and attrgetter which , unlike Martin 's proposal , use argument strings instead of attributes to determine the appropriate function to produce . | where the virtual '' object would serve as a virtual instance so that the self '' argument to the lower '' method could be supplied later . | 
PEP 347 | null | feedback | There was a little feedback on the proposal , with a few people wanting to go back to the text builtin instead of changing str , but no final decisions were made . | Otherwise subclasses of unicode would likely get UnicodeEncodeErrors when their str methods were called . | 
PEP 347 | null | feedback | There was a little feedback on the proposal , with a few people wanting to go back to the text builtin instead of changing str , but no final decisions were made . | Otherwise subclasses of unicode would likely get UnicodeEncodeErrors when their str methods were called . | 
PEP 347 | null | discussion | There was a brief discussion about consistency between this proposal and the operator module 's itemgetter and attrgetter which , unlike Martin 's proposal , use argument strings instead of attributes to determine the appropriate function to produce . | where the virtual '' object would serve as a virtual instance so that the self '' argument to the lower '' method could be supplied later . | 
PEP 347 | null | feedback | There was a little feedback on the proposal , with a few people wanting to go back to the text builtin instead of changing str , but no final decisions were made . | Otherwise subclasses of unicode would likely get UnicodeEncodeErrors when their str methods were called . | 
PEP 347 | null | feedback | There was a little feedback on the proposal , with a few people wanting to go back to the text builtin instead of changing str , but no final decisions were made . | Otherwise subclasses of unicode would likely get UnicodeEncodeErrors when their str methods were called . | 
PEP 347 | null | discussion | There was a brief discussion about consistency between this proposal and the operator module 's itemgetter and attrgetter which , unlike Martin 's proposal , use argument strings instead of attributes to determine the appropriate function to produce . | where the virtual '' object would serve as a virtual instance so that the self '' argument to the lower '' method could be supplied later . | 
PEP 347 | null | feedback | There was a little feedback on the proposal , with a few people wanting to go back to the text builtin instead of changing str , but no final decisions were made . | Otherwise subclasses of unicode would likely get UnicodeEncodeErrors when their str methods were called . | 
PEP 347 | null | feedback | There was a little feedback on the proposal , with a few people wanting to go back to the text builtin instead of changing str , but no final decisions were made . | Otherwise subclasses of unicode would likely get UnicodeEncodeErrors when their str methods were called . | 
PEP 348 | null | discussion | The PEP evolution and discussion are still continuing in August , and since this is for Python 3.0 , are likely to be considered open for some time yet . | The PEP contains the current status for each of these exceptions . | . .
PEP 348 | null | discussion | The PEP evolution and discussion are still continuing in August , and since this is for Python 3.0 , are likely to be considered open for some time yet . | The PEP contains the current status for each of these exceptions . | . .
PEP 348 | null | discussion | Flesh out arguments for TerminatingException Reorganize discussion of hierarchy difference compared to 2.4 Strip out unneeded Rejected Idea sections based on other discussions in the PEP | Minor changes | 
PEP 348 | null | discussion | Flesh out arguments for TerminatingException Reorganize discussion of hierarchy difference compared to 2.4 Strip out unneeded Rejected Idea sections based on other discussions in the PEP | Minor changes | 
PEP 348 | null | discussion | Flesh out arguments for TerminatingException Reorganize discussion of hierarchy difference compared to 2.4 Strip out unneeded Rejected Idea sections based on other discussions in the PEP | Minor changes | 
PEP 348 | null | discussion | Flesh out arguments for TerminatingException Reorganize discussion of hierarchy difference compared to 2.4 Strip out unneeded Rejected Idea sections based on other discussions in the PEP | Minor changes | 
PEP 348 | null | discussion | Flesh out arguments for TerminatingException Reorganize discussion of hierarchy difference compared to 2.4 Strip out unneeded Rejected Idea sections based on other discussions in the PEP | Minor changes | 
PEP 348 | null | discussion | Flesh out arguments for TerminatingException Reorganize discussion of hierarchy difference compared to 2.4 Strip out unneeded Rejected Idea sections based on other discussions in the PEP | Minor changes | 
PEP 348 | null | discussion | The PEP evolution and discussion are still continuing in August , and since this is for Python 3.0 , are likely to be considered open for some time yet . | The PEP contains the current status for each of these exceptions . | . .
PEP 348 | null | discussion | The PEP evolution and discussion are still continuing in August , and since this is for Python 3.0 , are likely to be considered open for some time yet . | The PEP contains the current status for each of these exceptions . | . .
PEP 348 | null | discussion | The PEP evolution and discussion are still continuing in August , and since this is for Python 3.0 , are likely to be considered open for some time yet . | The PEP contains the current status for each of these exceptions . | . .
